image_idx,ground_truth_idx,ground_truth_label,correct_log_prob,correct_log_prob_norm,correct_n_tokens,correct_rank_approx,top1_label,top1_first_token_lp
0,91,coucal,-11.1636962890625,-3.7212320963541665,3,236,coucal,-1.9073486328125e-06
1,171,Italian Greyhound,-7.770237922668457,-1.9425594806671143,4,309,Greyhound,-3.5762786865234375e-07
2,980,volcano,-3.645751953125,-1.2152506510416667,3,29,volcano,-8.344650268554688e-07
3,218,Welsh Springer Spaniel,-9.367133975028992,-1.5611889958381653,6,716,cock,-1.7881393432617188e-06
4,19,chickadee,-3.273465633392334,-0.6546931266784668,5,56,chickadee,-2.86102294921875e-06
5,658,mitten,-7.9124908447265625,-2.6374969482421875,3,103,mitten,-2.384185791015625e-07
6,549,envelope,-8.0389404296875,-2.6796468098958335,3,659,tick,-0.0257568359375
7,808,sombrero,-3.5950050354003906,-1.1983350118001301,3,6,sombrero,-9.655952453613281e-06
8,305,dung beetle,-4.739990234375,-1.5799967447916667,3,1,dung beetle,-3.5762786865234375e-07
9,416,balance beam,-2.4526824951171875,-0.8175608317057291,3,943,hen,-0.0303955078125
