image_idx,ground_truth_idx,ground_truth_label,correct_log_prob,correct_log_prob_norm,correct_n_tokens,correct_rank,top1_label,top1_log_prob_norm,generated_text
0,2,great white shark,-2.9569168090820312,-0.9856389363606771,3,1,great white shark,-0.9856389363606771,great white shark
1,0,tench,-0.0019443035125732422,-0.0009721517562866211,2,1,tench,-0.0009721517562866211,tench
2,4,hammerhead shark,-3.701171875,-1.2337239583333333,3,1,hammerhead shark,-1.2337239583333333,hammerhead shark
3,4,hammerhead shark,-8.87255859375,-2.95751953125,3,3,tiger shark,-0.6600341796875,tiger shark
4,9,ostrich,-4.2682342529296875,-2.1341171264648438,2,1,ostrich,-2.1341171264648438,ostrich
5,2,great white shark,-2.1829566955566406,-0.7276522318522135,3,1,great white shark,-0.7276522318522135,great white shark
6,3,tiger shark,-5.0537109375,-2.52685546875,2,5,great white shark,-1.208740234375,great white shark
7,1,goldfish,-0.018174171447753906,-0.009087085723876953,2,1,goldfish,-0.009087085723876953,goldfish
8,3,tiger shark,-4.2216796875,-2.11083984375,2,4,tench,-1.1191501021385193,great white shark
9,0,tench,-0.002176046371459961,-0.0010880231857299805,2,1,tench,-0.0010880231857299805,tench
10,3,tiger shark,-3.12744140625,-1.563720703125,2,3,great white shark,-1.188720703125,great white shark
11,6,stingray,-3.328369140625,-1.1094563802083333,3,1,stingray,-1.1094563802083333,stingray
12,1,goldfish,-0.02071857452392578,-0.01035928726196289,2,1,goldfish,-0.01035928726196289,goldfish
13,6,stingray,-3.054473876953125,-1.018157958984375,3,1,stingray,-1.018157958984375,stingray
14,8,hen,-0.013458251953125,-0.013458251953125,1,1,hen,-0.013458251953125,hen
15,3,tiger shark,-0.90771484375,-0.453857421875,2,1,tiger shark,-0.453857421875,tiger shark
16,2,great white shark,-4.46435546875,-1.4881184895833333,3,2,tiger shark,-0.43878173828125,tiger shark
17,6,stingray,-4.756591796875,-1.5855305989583333,3,2,tench,-0.9531386494636536,stingray
18,3,tiger shark,-1.25341796875,-0.626708984375,2,1,tiger shark,-0.626708984375,tiger shark
19,9,ostrich,-4.3421173095703125,-2.1710586547851562,2,1,ostrich,-2.1710586547851562,ostrich
20,0,tench,-0.0014252662658691406,-0.0007126331329345703,2,1,tench,-0.0007126331329345703,tench
21,3,tiger shark,-1.109619140625,-0.5548095703125,2,1,tiger shark,-0.5548095703125,tiger shark
22,4,hammerhead shark,-1.193603515625,-0.3978678385416667,3,1,hammerhead shark,-0.3978678385416667,hammerhead shark
23,9,ostrich,-4.305450439453125,-2.1527252197265625,2,1,ostrich,-2.1527252197265625,ostrich
24,6,stingray,-3.41046142578125,-1.1368204752604167,3,1,stingray,-1.1368204752604167,stingray
25,5,electric ray,-12.84765625,-6.423828125,2,7,stingray,-1.1028645833333333,stingray
