,n_active_img,n_active_txt,rank_sum_img_norm,rank_sum_txt_norm,d_img_sem,d_txt_sem,hamming_to_anchor,pair_margin,source
n_active_img,1.0,-0.03992574903322212,0.7301875316923986,0.08328701009799497,0.5167694223614071,0.025949558457995205,,0.139089616594167,smoo
n_active_txt,-0.03992574903322212,1.0,0.07281369443617387,0.4681588104459564,0.041550426295722274,0.581416070032065,,-0.207148984944573,smoo
rank_sum_img_norm,0.7301875316923986,0.07281369443617387,1.0,0.1285982938289751,0.6528914923332165,0.1262833621209015,,0.09846891180643129,smoo
rank_sum_txt_norm,0.08328701009799497,0.4681588104459564,0.1285982938289751,1.0,0.0769669694409084,0.5069718044288367,,-0.07915513741430803,smoo
d_img_sem,0.5167694223614071,0.041550426295722274,0.6528914923332165,0.0769669694409084,1.0,0.11191231907399418,,0.08809284140306413,smoo
d_txt_sem,0.025949558457995205,0.581416070032065,0.1262833621209015,0.5069718044288367,0.11191231907399418,1.0,,-0.20868389302480456,smoo
hamming_to_anchor,,,,,,,,,smoo
pair_margin,0.139089616594167,-0.207148984944573,0.09846891180643129,-0.07915513741430803,0.08809284140306413,-0.20868389302480456,,1.0,smoo
n_active_img,1.0,0.11647538485024227,0.5192599222720282,0.040499027939093296,0.2467727695564886,0.06385386487506012,0.9700946774349222,-0.010520149479921482,pdq_s1
n_active_txt,0.11647538485024227,1.0,-0.21419962938926504,0.34704243550367714,-0.04419896004309164,0.3505295149510816,0.12871118462542294,0.10168228728651495,pdq_s1
rank_sum_img_norm,0.5192599222720282,-0.21419962938926504,1.0,-0.0477224110818482,0.5088937685733352,-0.055410049102502454,0.5124159799028366,-0.14607835722659632,pdq_s1
rank_sum_txt_norm,0.040499027939093296,0.34704243550367714,-0.0477224110818482,1.0,-0.022711404196621793,0.13997203396384633,0.03696837128593627,0.04106134709203482,pdq_s1
d_img_sem,0.2467727695564886,-0.04419896004309164,0.5088937685733352,-0.022711404196621793,1.0,-0.006769488645875237,0.2691913267526654,-0.26560432659422767,pdq_s1
d_txt_sem,0.06385386487506012,0.3505295149510816,-0.055410049102502454,0.13997203396384633,-0.006769488645875237,1.0,0.06262667211348279,0.12360238539733308,pdq_s1
hamming_to_anchor,0.9700946774349222,0.12871118462542294,0.5124159799028366,0.03696837128593627,0.2691913267526654,0.06262667211348279,1.0,-0.009190343313664225,pdq_s1
pair_margin,-0.010520149479921482,0.10168228728651495,-0.14607835722659632,0.04106134709203482,-0.26560432659422767,0.12360238539733308,-0.009190343313664225,1.0,pdq_s1
n_active_img,1.0,0.5132575258860073,0.4508066886205644,0.16175565823827776,,,0.9860894830232001,0.1221368462507066,pdq_s2
n_active_txt,0.5132575258860073,1.0,0.15695344417019885,0.34903642714828087,,,0.5474133077626762,0.009835847871884573,pdq_s2
rank_sum_img_norm,0.4508066886205644,0.15695344417019885,1.0,0.060901878552400486,,,0.4394914499760955,-0.09276551759878662,pdq_s2
rank_sum_txt_norm,0.16175565823827776,0.34903642714828087,0.060901878552400486,1.0,,,0.1654025354209482,-0.028602421762063585,pdq_s2
d_img_sem,,,,,,,,,pdq_s2
d_txt_sem,,,,,,,,,pdq_s2
hamming_to_anchor,0.9860894830232001,0.5474133077626762,0.4394914499760955,0.1654025354209482,,,1.0,0.11812830535402558,pdq_s2
pair_margin,0.1221368462507066,0.009835847871884573,-0.09276551759878662,-0.028602421762063585,,,0.11812830535402558,1.0,pdq_s2
