seed,n_anchor_json,n_distinct_genotypes,n_distinct_fitness,n_distinct_pa_pb
seed_0000_1779779762,3,3,1,1
seed_0001_1779779762,3,3,1,1
seed_0002_1779796697,3,3,2,2
seed_0003_1779794022,3,3,1,1
seed_0004_1779812704,3,3,2,2
seed_0005_1779808731,3,3,2,2
seed_0006_1779825618,3,3,1,1
seed_0007_1779823735,3,3,1,1
seed_0008_1779843581,3,3,3,3
seed_0009_1779838222,3,3,2,2
seed_0010_1779858298,3,2,1,1
seed_0011_1779854570,3,3,1,1
seed_0012_1779872483,3,3,2,2
seed_0013_1779870048,3,3,1,1
seed_0014_1779884961,3,3,2,2
seed_0015_1779886296,3,3,2,2
seed_0016_1779899585,3,3,2,2
seed_0017_1779900659,3,3,2,2
seed_0018_1779913977,3,3,1,1
seed_0019_1779914598,3,3,1,1
seed_0020_1779928083,3,3,1,1
seed_0021_1779931262,3,3,2,2
seed_0022_1779943150,3,3,1,1
seed_0023_1779949141,3,3,3,3
seed_0024_1779959809,3,3,3,3
seed_0025_1779966185,3,3,1,1
seed_0026_1779976995,3,3,2,2
seed_0027_1779981692,3,3,3,3
seed_0028_1779993131,3,3,2,2
seed_0029_1779998847,3,3,1,1
seed_0030_1780009894,3,3,1,1
seed_0031_1780011438,3,3,2,2
seed_0032_1780024232,3,3,1,1
seed_0033_1780025132,3,3,1,1
seed_0034_1780039061,3,3,1,1
seed_0035_1780038236,3,3,2,2
seed_0036_1780052734,3,3,1,1
seed_0037_1780054076,3,3,1,1
seed_0038_1780069542,3,3,2,2
seed_0039_1780067455,3,3,2,2
seed_0040_1780090517,3,3,2,2
seed_0041_1780081777,3,3,1,1
seed_0042_1780105620,3,3,1,1
seed_0043_1780094603,3,3,3,3
seed_0044_1780120986,3,3,1,1
seed_0045_1780111250,3,3,2,2
seed_0046_1780138214,3,2,1,1
seed_0047_1780129380,3,3,1,1
seed_0048_1780152376,3,3,2,2
seed_0049_1780140340,3,3,1,1
seed_0050_1780167115,3,3,2,2
seed_0051_1780155232,3,3,1,1
seed_0052_1780182692,3,3,1,1
seed_0053_1780174965,3,3,3,3
seed_0054_1780198153,3,3,2,2
seed_0055_1780190185,3,3,1,1
seed_0056_1780215148,3,3,2,2
seed_0057_1780206561,3,3,1,1
seed_0058_1780227998,3,3,1,1
seed_0059_1780224075,3,3,1,1
seed_0060_1780260183,3,3,2,2
seed_0061_1780475753,3,3,1,1
seed_0062_1780268107,3,3,2,2
seed_0063_1780475753,3,3,1,1
seed_0064_1780276325,3,3,1,1
seed_0065_1780489548,3,3,1,1
seed_0066_1780283706,3,3,1,1
seed_0067_1780491913,3,3,2,2
seed_0068_1780292716,3,3,1,1
seed_0069_1780504147,3,3,1,1
seed_0070_1780301888,3,3,1,1
seed_0071_1780512858,3,3,2,2
seed_0072_1780310846,3,3,3,3
seed_0073_1780521725,3,3,1,1
seed_0074_1780320163,3,3,2,2
seed_0075_1780529902,3,3,3,3
seed_0076_1780329372,3,3,1,1
seed_0077_1780538446,3,3,2,2
seed_0078_1780338231,3,3,3,3
seed_0079_1780547416,3,3,1,1
seed_0080_1780347687,3,3,1,1
seed_0081_1780556029,3,3,2,2
seed_0082_1780357043,3,3,1,1
seed_0083_1780564484,3,3,3,3
seed_0084_1780365821,3,3,2,2
seed_0085_1780573626,3,3,1,1
seed_0086_1780374685,3,3,2,2
seed_0087_1780581845,3,3,3,3
seed_0088_1780383677,3,3,1,1
seed_0089_1780870426,3,3,2,2
seed_0090_1780392223,3,3,1,1
seed_0091_1780870426,3,3,1,1
seed_0092_1780401079,3,3,2,2
seed_0093_1780886771,3,3,1,1
seed_0094_1780410003,3,3,2,2
seed_0095_1780886012,3,3,2,2
seed_0096_1780419069,3,3,1,1
seed_0097_1780904677,3,3,1,1
seed_0098_1780900702,3,3,2,2
seed_0099_1780918909,3,3,1,1
seed_0100_1780916954,3,2,1,1
seed_0101_1780934121,3,3,1,1
seed_0102_1780932203,3,3,3,3
seed_0103_1780950585,3,3,1,1
seed_0104_1780948053,3,3,2,2
seed_0105_1780968271,3,3,2,2
seed_0106_1780964191,3,3,1,1
seed_0107_1780980530,3,3,2,2
seed_0108_1780980441,3,3,1,1
seed_0109_1780995629,3,3,1,1
seed_0110_1780996813,3,3,1,1
seed_0111_1781012945,3,3,1,1
seed_0112_1781012854,3,3,1,1
seed_0113_1781030692,3,3,1,1
seed_0114_1781029272,3,3,1,1
seed_0115_1781047860,3,3,1,1
seed_0116_1781045281,3,3,1,1
seed_0117_1781060711,3,3,2,2
seed_0118_1781061980,3,3,2,2
