seed,min_hamming,max_hamming,mean_hamming,genome_len,anchor0_active_genes
seed_0000_1779779762,3,5,4.0,241,23
seed_0001_1779779762,2,2,2.0,295,13
seed_0002_1779796697,1,8,5.333333333333333,241,27
seed_0003_1779794022,2,5,4.0,241,12
seed_0004_1779812704,3,6,4.666666666666667,295,11
seed_0005_1779808731,1,16,10.666666666666666,241,17
seed_0006_1779825618,2,2,2.0,241,14
seed_0007_1779823735,3,6,4.0,295,16
seed_0008_1779843581,3,4,3.6666666666666665,241,14
seed_0009_1779838222,2,5,4.0,241,17
seed_0010_1779858298,0,2,1.3333333333333333,295,16
seed_0011_1779854570,2,3,2.6666666666666665,241,16
seed_0012_1779872483,2,15,10.333333333333334,241,18
seed_0013_1779870048,2,2,2.0,295,36
seed_0014_1779884961,3,27,18.666666666666668,241,21
seed_0015_1779886296,1,22,14.666666666666666,241,31
seed_0016_1779899585,2,8,5.333333333333333,295,37
seed_0017_1779900659,1,21,14.0,241,36
seed_0018_1779913977,3,5,4.0,241,10
seed_0019_1779914598,2,3,2.6666666666666665,295,16
seed_0020_1779928083,2,3,2.6666666666666665,241,11
seed_0021_1779931262,2,12,8.666666666666666,241,14
seed_0022_1779943150,1,3,2.0,295,14
seed_0023_1779949141,8,19,13.666666666666666,241,18
seed_0024_1779959809,23,30,25.666666666666668,241,33
seed_0025_1779966185,2,3,2.6666666666666665,295,17
seed_0026_1779976995,2,14,9.333333333333334,241,16
seed_0027_1779981692,8,18,14.333333333333334,241,16
seed_0028_1779993131,5,20,14.0,295,11
seed_0029_1779998847,2,3,2.6666666666666665,241,15
seed_0030_1780009894,2,4,3.3333333333333335,241,13
seed_0031_1780011438,4,11,8.0,295,12
seed_0032_1780024232,3,4,3.3333333333333335,241,11
seed_0033_1780025132,2,4,3.3333333333333335,241,15
seed_0034_1780039061,2,5,4.0,295,15
seed_0035_1780038236,1,20,13.333333333333334,241,12
seed_0036_1780052734,1,12,8.0,241,17
seed_0037_1780054076,2,6,4.666666666666667,295,20
seed_0038_1780069542,1,28,18.666666666666668,241,13
seed_0039_1780067455,1,19,12.666666666666666,241,22
seed_0040_1780090517,1,19,12.666666666666666,295,18
seed_0041_1780081777,2,2,2.0,241,18
seed_0042_1780105620,1,4,2.6666666666666665,241,13
seed_0043_1780094603,6,9,7.333333333333333,295,24
seed_0044_1780120986,2,6,4.666666666666667,241,23
seed_0045_1780111250,2,19,12.666666666666666,241,14
seed_0046_1780138214,0,4,2.6666666666666665,295,20
seed_0047_1780129380,2,3,2.6666666666666665,241,14
seed_0048_1780152376,1,8,5.333333333333333,241,11
seed_0049_1780140340,2,4,3.3333333333333335,295,16
seed_0050_1780167115,2,18,12.0,241,17
seed_0051_1780155232,1,4,2.6666666666666665,241,22
seed_0052_1780182692,2,3,2.6666666666666665,295,35
seed_0053_1780174965,5,9,6.666666666666667,241,14
seed_0054_1780198153,4,6,4.666666666666667,241,10
seed_0055_1780190185,4,8,6.0,295,17
seed_0056_1780215148,3,15,10.666666666666666,241,15
seed_0057_1780206561,2,3,2.6666666666666665,241,18
seed_0058_1780227998,2,4,3.3333333333333335,295,16
seed_0059_1780224075,1,2,1.3333333333333333,241,7
seed_0060_1780260183,2,11,7.333333333333333,241,15
seed_0061_1780475753,3,5,4.0,295,17
seed_0062_1780268107,3,24,16.666666666666668,241,24
seed_0063_1780475753,1,3,2.0,241,10
seed_0064_1780276325,3,4,3.3333333333333335,295,14
seed_0065_1780489548,2,2,2.0,241,16
seed_0066_1780283706,2,4,3.3333333333333335,241,13
seed_0067_1780491913,1,60,40.0,295,55
seed_0068_1780292716,2,4,3.3333333333333335,241,27
seed_0069_1780504147,2,3,2.6666666666666665,241,20
seed_0070_1780301888,2,5,4.0,295,30
seed_0071_1780512858,3,16,11.666666666666666,241,15
seed_0072_1780310846,38,49,42.0,241,29
seed_0073_1780521725,3,5,4.0,295,14
seed_0074_1780320163,2,29,19.333333333333332,241,15
seed_0075_1780529902,11,38,27.666666666666668,241,98
seed_0076_1780329372,2,5,4.0,295,19
seed_0077_1780538446,1,11,7.333333333333333,241,20
seed_0078_1780338231,3,6,4.333333333333333,241,65
seed_0079_1780547416,2,5,3.3333333333333335,295,25
seed_0080_1780347687,2,3,2.6666666666666665,241,32
seed_0081_1780556029,2,12,8.0,241,20
seed_0082_1780357043,4,5,4.666666666666667,295,16
seed_0083_1780564484,8,41,30.0,241,17
seed_0084_1780365821,2,6,4.0,241,13
seed_0085_1780573626,5,6,5.333333333333333,295,26
seed_0086_1780374685,1,28,18.666666666666668,241,17
seed_0087_1780581845,23,60,47.0,241,24
seed_0088_1780383677,2,5,3.3333333333333335,295,14
seed_0089_1780870426,2,17,11.666666666666666,241,14
seed_0090_1780392223,5,8,6.0,241,15
seed_0091_1780870426,4,5,4.666666666666667,295,13
seed_0092_1780401079,5,24,16.0,241,15
seed_0093_1780886771,4,6,5.333333333333333,241,16
seed_0094_1780410003,3,13,8.666666666666666,295,15
seed_0095_1780886012,3,7,5.333333333333333,241,14
seed_0096_1780419069,2,5,3.3333333333333335,241,15
seed_0097_1780904677,1,4,2.6666666666666665,295,17
seed_0098_1780900702,5,14,10.666666666666666,241,20
seed_0099_1780918909,2,5,4.0,241,16
seed_0100_1780916954,0,5,3.3333333333333335,295,15
seed_0101_1780934121,2,2,2.0,241,13
seed_0102_1780932203,8,15,12.333333333333334,241,18
seed_0103_1780950585,2,6,4.666666666666667,295,27
seed_0104_1780948053,2,10,7.333333333333333,241,15
seed_0105_1780968271,1,10,6.666666666666667,241,17
seed_0106_1780964191,4,6,5.333333333333333,295,20
seed_0107_1780980530,3,14,10.0,241,19
seed_0108_1780980441,2,4,3.3333333333333335,241,15
seed_0109_1780995629,3,4,3.3333333333333335,295,19
seed_0110_1780996813,1,3,2.0,241,15
seed_0111_1781012945,3,5,4.0,241,13
seed_0112_1781012854,3,5,4.0,295,10
seed_0113_1781030692,1,2,1.3333333333333333,241,9
seed_0114_1781029272,2,2,2.0,241,18
seed_0115_1781047860,2,4,3.3333333333333335,295,16
seed_0116_1781045281,2,3,2.6666666666666665,241,13
seed_0117_1781060711,4,24,17.0,241,12
seed_0118_1781061980,2,14,10.0,295,21
