target,la,lt,n_seeds,n_seeds_pf,n_seeds_gf,total_calls,total_pf,total_gf,med_min_gf_ham,min_min_gf_ham,n_anch_flipped,pf_seed_rate,gf_seed_rate,cross_rate
boa constrictor,0,0,3,3,0,847,262,0,,,9,1.0,0.0,1.0
boa constrictor,0,1,3,3,2,1285,843,703,4.5,2.0,5,1.0,0.6666666666666666,0.0
boa constrictor,0,2,3,3,0,984,273,0,,,9,1.0,0.0,1.0
boa constrictor,1,0,3,3,0,907,223,0,,,9,1.0,0.0,1.0
boa constrictor,1,1,3,3,1,1103,660,475,3.0,3.0,6,1.0,0.3333333333333333,0.3333333333333333
boa constrictor,1,2,3,3,0,950,248,0,,,9,1.0,0.0,1.0
boa constrictor,2,0,3,3,2,1468,1190,1091,1.0,1.0,3,1.0,0.6666666666666666,1.0
boa constrictor,2,1,3,3,0,1102,232,0,,,9,1.0,0.0,0.6666666666666666
boa constrictor,2,2,3,3,0,1329,219,0,,,9,1.0,0.0,1.0
cello,0,0,3,2,2,2660,156,156,188.0,173.0,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
cello,0,1,3,0,0,2361,0,0,,,0,0.0,0.0,1.0
cello,0,2,3,2,2,2310,77,77,194.0,187.0,0,0.6666666666666666,0.6666666666666666,1.0
cello,1,0,3,2,2,2132,5,5,97.0,11.0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333
cello,1,1,3,2,2,2400,140,140,107.0,39.0,0,0.6666666666666666,0.6666666666666666,0.0
cello,1,2,3,2,1,2494,38,1,231.0,231.0,3,0.6666666666666666,0.3333333333333333,1.0
cello,2,0,3,2,2,2279,74,74,209.0,202.0,0,0.6666666666666666,0.6666666666666666,1.0
cello,2,1,3,1,1,2175,45,45,181.0,181.0,0,0.3333333333333333,0.3333333333333333,1.0
cello,2,2,3,2,2,2358,87,87,181.5,172.0,0,0.6666666666666666,0.6666666666666666,1.0
green iguana,0,0,3,3,1,2596,831,209,172.0,172.0,7,1.0,0.3333333333333333,0.6666666666666666
green iguana,0,1,3,3,0,2779,825,0,,,9,1.0,0.0,0.6666666666666666
green iguana,0,2,3,3,2,2376,704,631,8.0,7.0,3,1.0,0.6666666666666666,1.0
green iguana,1,0,3,3,0,2724,649,0,,,9,1.0,0.0,1.0
green iguana,1,1,3,3,1,2556,541,239,7.0,7.0,6,1.0,0.3333333333333333,0.6666666666666666
green iguana,1,2,3,3,2,2430,782,415,170.0,169.0,5,1.0,0.6666666666666666,1.0
green iguana,2,0,3,3,3,2150,464,464,170.0,17.0,0,1.0,1.0,1.0
green iguana,2,1,3,3,3,2065,504,504,172.0,162.0,0,1.0,1.0,1.0
green iguana,2,2,3,3,3,2242,495,495,181.0,171.0,0,1.0,1.0,1.0
marimba,0,0,3,3,2,2353,473,257,87.5,2.0,3,1.0,0.6666666666666666,1.0
marimba,0,1,3,3,3,2346,555,555,20.0,1.0,0,1.0,1.0,1.0
marimba,0,2,3,3,1,2591,542,234,8.0,8.0,6,1.0,0.3333333333333333,1.0
marimba,1,0,3,3,2,2551,481,359,94.5,9.0,4,1.0,0.6666666666666666,1.0
marimba,1,1,3,3,2,2490,784,435,93.0,10.0,4,1.0,0.6666666666666666,1.0
marimba,1,2,3,3,0,2664,665,0,,,9,1.0,0.0,1.0
marimba,2,0,3,3,3,2248,412,412,173.0,14.0,0,1.0,1.0,1.0
marimba,2,1,3,3,3,2165,485,485,174.0,2.0,0,1.0,1.0,1.0
marimba,2,2,2,2,2,1461,285,285,92.0,3.0,0,1.0,1.0,1.0
ostrich,0,0,3,2,2,2284,73,73,90.0,2.0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333
ostrich,0,1,3,1,1,2126,28,28,191.0,191.0,0,0.3333333333333333,0.3333333333333333,1.0
ostrich,1,0,3,2,2,2101,107,107,178.0,177.0,0,0.6666666666666666,0.6666666666666666,0.0
ostrich,1,1,3,2,2,2256,20,20,211.5,199.0,0,0.6666666666666666,0.6666666666666666,1.0
