target,la,lt,n,n_crossed,mean_frac_crossed,med_first_gen,med_max_pb,med_min_tgtbal,cross_rate
boa constrictor,0,0,3,3,0.0443333333333333,8.0,0.7478182911872864,0.0003893375396728,1.0
boa constrictor,0,1,3,0,0.0,,0.3462687730789184,0.6354809999465942,0.0
boa constrictor,0,2,3,3,0.05799999999999997,6.0,0.6643852591514587,0.0005068778991699,1.0
boa constrictor,1,0,3,3,0.15416666666666667,1.0,0.6840773820877075,0.0002064704895019,1.0
boa constrictor,1,1,3,1,0.0006111111111110999,99.0,0.3539716899394989,0.6016263961791992,0.3333333333333333
boa constrictor,1,2,3,3,0.04677777777777773,6.0,0.5690059065818787,0.0003631114959716,1.0
boa constrictor,2,0,3,3,0.3892222222222222,0.0,0.9922544956207277,0.0002422332763671,1.0
boa constrictor,2,1,3,2,0.010944444444444432,27.5,0.5774160027503967,0.0011653900146484,0.6666666666666666
boa constrictor,2,2,3,3,0.5483888888888889,0.0,0.9868112206459044,0.0003399848937988,1.0
cello,0,0,3,2,0.024388888888888866,13.0,0.7810047268867493,0.003239631652832,0.6666666666666666
cello,0,1,3,3,0.0336111111111111,27.0,0.7585484981536865,0.0001652240753173,1.0
cello,0,2,3,3,0.07394444444444441,0.0,0.753943920135498,0.0003337860107421,1.0
cello,1,0,3,1,0.00027777777777776666,144.0,0.4230294525623321,0.3103493452072143,0.3333333333333333
cello,1,1,3,0,0.0,,0.4193115532398224,0.3256001472473144,0.0
cello,1,2,3,3,0.042388888888888865,6.0,0.6518896818161011,0.001305341720581,1.0
cello,2,0,3,3,0.20427777777777775,0.0,0.9460942149162292,5.626678466796875e-05,1.0
cello,2,1,3,3,0.2523333333333333,0.0,0.9452553391456604,0.0002360343933105,1.0
cello,2,2,3,3,0.3229444444444444,0.0,0.9808608293533324,0.0001087188720703,1.0
green iguana,0,0,3,2,0.01644444444444443,46.0,0.7307175397872925,0.003281831741333,0.6666666666666666
green iguana,0,1,3,2,0.010777777777777766,8.0,0.5963067412376404,0.001950979232788,0.6666666666666666
green iguana,0,2,3,3,0.0598333333333333,0.0,0.6898956298828125,0.0002920627593994,1.0
green iguana,1,0,3,3,0.018333333333333268,21.0,0.5929031372070312,0.0007736682891845,1.0
green iguana,1,1,3,2,0.004277777777777767,85.0,0.5252479314804077,0.0111563205718994,0.6666666666666666
green iguana,1,2,3,3,0.04494444444444443,4.0,0.5787563323974609,0.0003855228424072,1.0
green iguana,2,0,3,3,0.4703333333333333,0.0,0.9980109333992004,0.0008991956710815,1.0
green iguana,2,1,3,3,0.27955555555555556,0.0,0.969024419784546,0.0002741813659667,1.0
green iguana,2,2,3,3,0.5241111111111111,0.0,0.986933708190918,0.0001373291015625,1.0
marimba,0,0,3,3,0.021388888888888864,14.0,0.5860676765441895,0.0002851486206054,1.0
marimba,0,1,3,3,0.05833333333333333,2.0,0.6609121561050415,4.696846008300781e-05,1.0
marimba,0,2,3,3,0.016777777777777735,10.0,0.5730544924736023,0.0009498596191406,1.0
marimba,1,0,3,3,0.0269444444444444,7.0,0.5578421950340271,0.0014300346374511,1.0
marimba,1,1,3,3,0.021722222222222167,26.0,0.5677831768989563,0.002124547958374,1.0
marimba,1,2,3,3,0.037277777777777736,23.0,0.5620372295379639,0.0011029243469238,1.0
marimba,2,0,3,3,0.20716666666666664,0.0,0.9857322573661804,0.000493049621582,1.0
marimba,2,1,3,3,0.5251666666666667,0.0,0.9913865327835084,9.131431579589844e-05,1.0
marimba,2,2,2,2,0.40241666666666664,0.0,0.9797305166721344,0.00033462047576901716,1.0
ostrich,0,0,3,1,5.555555555553334e-05,99.0,0.4998786449432373,0.0649878978729248,0.3333333333333333
ostrich,0,1,3,3,0.2647777777777777,0.0,0.7639535665512085,0.0001773834228515,1.0
ostrich,1,0,3,0,0.0,,0.492759108543396,0.0289654731750488,0.0
ostrich,1,1,3,3,0.23761111111111108,0.0,0.6572830677032471,7.62939453125e-05,1.0
