target,la,lt,n,med_mtb,min_mtb,max_mtb,med_gen,med_dimg,med_dtext,range_mtb,log_range
ostrich,0,0,3,0.0649878978729248,0.00048542022705078125,0.6406810283660889,111.0,0.020426198840141296,0.7002345323562622,0.6401956081390381,3.1205239949411117
ostrich,0,1,3,0.0001773834228515625,4.57763671875e-05,0.00019621849060058594,195.0,0.00619180453941226,0.4879259467124939,0.00015044212341308594,0.6320986065087202
ostrich,1,0,3,0.028965473175048828,0.0104445219039917,0.0759584903717041,118.0,0.012473247945308685,0.5991319417953491,0.0655139684677124,0.8616877597911241
ostrich,1,1,3,7.62939453125e-05,5.245208740234375e-06,8.785724639892578e-05,47.0,0.009547324851155281,0.6714284420013428,8.26120376586914e-05,1.2240148113728644
green iguana,0,0,3,0.003281831741333008,0.00027751922607421875,1.222412347793579,123.0,0.016737738624215126,0.696378231048584,1.2221348285675049,3.643924652429398
green iguana,0,1,3,0.001950979232788086,0.0001270771026611328,0.13800978660583496,146.0,0.022955743595957756,0.7081306576728821,0.13788270950317383,3.035842579940285
green iguana,0,2,3,0.00029206275939941406,0.00021839141845703125,0.0015227794647216797,135.0,0.0005855055060237646,0.5796559453010559,0.0013043880462646484,0.8434014424901344
green iguana,1,0,3,0.0007736682891845703,0.00018548965454101562,0.0011281967163085938,113.0,0.015830544754862785,0.5878158211708069,0.0009427070617675781,0.7840651389662039
green iguana,1,1,3,0.011156320571899414,0.00026869773864746094,0.334409236907959,170.0,0.013953727670013905,0.6996461749076843,0.3341405391693115,3.095014253389324
green iguana,1,2,3,0.00038552284240722656,3.314018249511719e-05,0.0012967586517333984,35.0,0.012909803539514542,0.6113249063491821,0.0012636184692382812,1.5925042585610756
green iguana,2,0,3,0.000899195671081543,0.00045490264892578125,0.001093149185180664,157.0,0.002464535180479288,0.47427237033843994,0.0006382465362548828,0.38076096963796324
green iguana,2,1,3,0.0002741813659667969,8.249282836914062e-05,0.002497434616088867,104.0,0.00402948260307312,0.6051427721977234,0.0024149417877197266,1.4810779328455563
green iguana,2,2,3,0.0001373291015625,5.841255187988281e-05,0.0007815361022949219,9.0,0.00797230750322342,0.6884887218475342,0.0007231235504150391,1.126442864869948
boa constrictor,0,0,3,0.00038933753967285156,0.0001418590545654297,0.0014677047729492188,106.0,0.0189144816249609,0.610439658164978,0.001325845718383789,1.0147816454308916
boa constrictor,0,1,3,0.6354809999465942,0.4242240786552429,0.6527762413024902,191.0,0.013578474521636963,0.7483184337615967,0.22855216264724731,0.18716902415861772
boa constrictor,0,2,3,0.0005068778991699219,0.0002498626708984375,0.0010478496551513672,66.0,0.006114994641393423,0.6192214488983154,0.0007979869842529297,0.6225975967620827
boa constrictor,1,0,3,0.00020647048950195312,8.33272933959961e-05,0.00038611888885498047,76.0,0.0032141965348273516,0.5523242950439453,0.0003027915954589844,0.6659337722644958
boa constrictor,1,1,3,0.6016263961791992,0.008789479732513428,0.6031532883644104,152.0,0.007228469010442495,0.7267285585403442,0.594363808631897,1.8364645308730614
boa constrictor,1,2,3,0.0003631114959716797,1.430511474609375e-06,0.0008764266967773438,164.0,0.0067121549509465694,0.5337280035018921,0.0008749961853027344,2.78722425233043
boa constrictor,2,0,3,0.0002422332763671875,0.00019502639770507812,0.0008416175842285156,49.0,0.0012030034558847547,0.5488541126251221,0.0006465911865234375,0.6350214017164992
boa constrictor,2,1,3,0.0011653900146484375,0.0010814666748046875,0.7489070892333984,91.0,0.013201922178268433,0.6237979531288147,0.7478256225585938,2.8404148004060112
boa constrictor,2,2,3,0.0003399848937988281,1.6689300537109375e-05,0.0003440380096435547,149.0,0.004638154525309801,0.44480860233306885,0.0003273487091064453,1.3141682910792376
cello,0,0,3,0.0032396316528320312,0.00026535987854003906,0.23205804824829102,161.0,0.0135395722463727,0.6799993515014648,0.23179268836975098,2.9417613755110503
cello,0,1,3,0.0001652240753173828,5.340576171875e-05,0.001989603042602539,114.0,0.01651732064783573,0.4940229654312134,0.001936197280883789,1.571178322681103
cello,0,2,3,0.0003337860107421875,0.00011444091796875,0.0024747848510742188,113.0,0.004854516591876745,0.5900384187698364,0.0023603439331054688,1.3349561161368517
cello,1,0,3,0.31034934520721436,0.0009393692016601562,0.3624699115753174,64.0,0.017240626737475395,0.7682331204414368,0.3615305423736572,2.586435644643105
cello,1,1,3,0.32560014724731445,0.3109874725341797,0.7237226963043213,148.0,0.033947959542274475,0.6362634897232056,0.4127352237701416,0.3668292977769585
cello,1,2,3,0.0013053417205810547,0.0002465248107910156,0.0031783580780029297,38.0,0.012096705846488476,0.6543086171150208,0.002931833267211914,1.110342189665133
cello,2,0,3,5.626678466796875e-05,2.288818359375e-05,0.0011420249938964844,114.0,0.005292556714266539,0.6154524087905884,0.0011191368103027344,1.6980642803749948
cello,2,1,3,0.00023603439331054688,7.82012939453125e-05,0.00042700767517089844,11.0,0.012417481280863285,0.6803888082504272,0.00034880638122558594,0.7372217421373528
cello,2,2,3,0.0001087188720703125,4.9114227294921875e-05,0.002079486846923828,109.0,0.004747039172798395,0.49360519647598267,0.0020303726196289062,1.6267488619682537
marimba,0,0,3,0.00028514862060546875,0.0002014636993408203,0.0006644725799560547,161.0,0.004601890686899424,0.6958920955657959,0.0004630088806152344,0.5182802597636118
marimba,0,1,3,4.696846008300781e-05,7.152557373046875e-06,0.0004477500915527344,123.0,0.003508780850097537,0.5687390565872192,0.0004405975341796875,1.79657433321043
marimba,0,2,3,0.000949859619140625,0.0004057884216308594,0.0031011104583740234,102.0,0.008330716751515865,0.6339806318283081,0.002695322036743164,0.8832175844958798
marimba,1,0,3,0.0014300346374511719,0.0006225109100341797,0.0016357898712158203,68.0,0.014000620692968369,0.5894198417663574,0.0010132789611816406,0.4195805475034664
marimba,1,1,3,0.0021245479583740234,0.0008513927459716797,0.0024871826171875,75.0,0.008957915008068085,0.6230258345603943,0.0016357898712158203,0.46557772819506305
marimba,1,2,3,0.0011029243469238281,0.00010037422180175781,0.0011119842529296875,58.0,0.00474174739792943,0.6331862807273865,0.0010116100311279297,1.0444764459152895
marimba,2,0,3,0.0004930496215820312,0.0002846717834472656,0.0015263557434082031,40.0,2.782623232633341e-05,0.3420812487602234,0.0012416839599609375,0.7293113430147633
marimba,2,1,3,9.131431579589844e-05,4.76837158203125e-05,0.00047397613525390625,110.0,0.009329590946435928,0.45709002017974854,0.00042629241943359375,0.9973863843973136
marimba,2,2,2,0.00033462047576904297,6.628036499023438e-05,0.0006029605865478516,48.5,0.01210829644696787,0.6406103074550629,0.0005366802215576172,0.9589040334263279
