seed,seed_idx,dir_ts,has_config,has_manifest,has_stats,has_context,has_trace,has_conv,n_pareto_json,n_pareto_png,has_pdq_archive,has_pdq_candidates,has_pdq_stage1_flips,has_pdq_stage2_trajectories,has_pdq_sut_calls,has_pdq_anchors_dir,has_pdq_flips_dir,config_hash,config_schema_version,trace_rows,conv_rows,pdq_archive_rows,pdq_candidates_rows,pdq_stage1_flips_rows,pdq_stage2_trajectories_rows,pdq_sut_calls_rows,stats_schema_version,evo_runtime_s,generations,n_pareto,cache_hits,cache_misses,stats_has_early_stop_key,early_stop_trigger,class_a,class_b,anchor_class_concrete,target_class_concrete,stats_mtime,manifest_mtime,manifest_schema_version,n_anchors,n_distinct_anchor_pa_pb,anchor_labels,n_stage2_sut_calls_total,n_stage1_flips_total,n_stage2_flips_total,pdq_calls,pdq_cache_hit_rate,pdq_sut_wall_s,final_min_TgtBal,gen0_min_TgtBal,tgtbal_longest_plateau,tgtbal_tail_plateau,tgtbal_last_improve_gen,disk_bytes
seed_0000_1779779762,0,1779779762,True,True,True,True,True,True,287,287,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,26.0,30.0,26.0,777.0,810.0,4.0,11951.42652463913,200.0,287.0,452.0,5548.0,False,,sparrow,ratite,junco,ostrich,1779792249.93737,1779796697.206904,5.0,3.0,1.0,junco|junco|junco,777.0,26.0,26.0,810.0,0.04691358024691358,928.8109631538391,0.00048542022705078125,1.262213945388794,88.0,88.0,111.0,58632570
seed_0001_1779779762,1,1779779762,True,True,True,True,True,True,868,868,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,22.0,30.0,22.0,607.0,640.0,4.0,11976.478414773941,200.0,868.0,1993.0,4007.0,False,,sparrow,ratite,junco,ostrich,1779792875.1040282,1779794022.5842335,5.0,3.0,1.0,junco|junco|junco,607.0,22.0,22.0,640.0,0.0671875,378.5767607688904,0.6406810283660889,1.3767151832580566,72.0,72.0,127.0,88067619
seed_0002_1779796697,2,1779796697,True,True,True,True,True,True,161,161,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,27.0,30.0,27.0,810.0,843.0,4.0,10778.781185388565,200.0,161.0,634.0,12176.0,False,,sparrow,ratite,junco,ostrich,1779807634.5277214,1779812703.995408,5.0,3.0,2.0,junco|junco|junco,810.0,27.0,27.0,843.0,0.04151838671411625,1311.2518684864044,0.0649878978729248,1.1958773136138916,100.0,100.0,99.0,39593761
seed_0003_1779794022,3,1779794022,True,True,True,True,True,True,608,608,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,24.0,30.0,24.0,715.0,748.0,4.0,10083.260990142822,200.0,608.0,5443.0,7197.0,False,,sparrow,flightless bird,junco,ostrich,1779805245.3125184,1779808731.1953988,5.0,3.0,1.0,junco|junco|junco,715.0,24.0,24.0,748.0,0.020053475935828877,1009.1084427833557,4.57763671875e-05,0.010037779808044434,91.0,64.0,135.0,107085147
seed_0004_1779812704,4,1779812704,True,True,True,True,True,True,432,432,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,22.0,30.0,22.0,615.0,648.0,4.0,9624.826970338821,200.0,432.0,3400.0,16253.0,False,,sparrow,flightless bird,junco,ostrich,1779822759.0436566,1779825618.2635238,5.0,3.0,2.0,junco|junco|junco,615.0,22.0,22.0,648.0,0.05864197530864197,793.3253526687622,0.00019621849060058594,0.002635955810546875,105.0,3.0,196.0,47748344
seed_0005_1779808731,5,1779808731,True,True,True,True,True,True,426,426,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,24.0,30.0,24.0,706.0,739.0,4.0,9604.449408531189,200.0,426.0,7523.0,11865.0,False,,sparrow,flightless bird,junco,ostrich,1779819142.42795,1779823735.7412584,5.0,3.0,2.0,junco|junco|junco,706.0,24.0,24.0,739.0,0.008119079837618403,917.1630825996399,0.0001773834228515625,0.020749688148498535,172.0,4.0,195.0,79364701
seed_0006_1779825618,6,1779825618,True,True,True,True,True,True,483,483,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,25.0,30.0,25.0,729.0,762.0,4.0,11270.676544427872,200.0,483.0,4702.0,21599.0,False,,songbird,ratite,junco,ostrich,1779837360.6797514,1779843581.6438882,5.0,3.0,1.0,junco|junco|junco,729.0,25.0,25.0,762.0,0.031496062992125984,1465.0638265609741,0.0104445219039917,0.47358858585357666,124.0,124.0,75.0,88262011
seed_0007_1779823735,7,1779823735,True,True,True,True,True,True,796,796,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,18.0,30.0,18.0,519.0,552.0,4.0,10749.74895143509,200.0,796.0,9581.0,16546.0,False,,songbird,ratite,junco,ostrich,1779835986.5795858,1779838222.1530712,5.0,3.0,1.0,junco|junco|junco,519.0,18.0,18.0,552.0,0.03260869565217391,526.1151306629181,0.028965473175048828,0.9751131534576416,81.0,81.0,118.0,80982242
seed_0008_1779843581,8,1779843581,True,True,True,True,True,True,404,404,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,26.0,30.0,26.0,763.0,796.0,4.0,9487.41838645935,200.0,404.0,5839.0,27224.0,False,,songbird,ratite,junco,ostrich,1779853465.093611,1779858298.6649635,5.0,3.0,3.0,junco|junco|junco,763.0,26.0,26.0,796.0,0.04773869346733668,1344.3424861431122,0.0759584903717041,0.9465365409851074,63.0,54.0,145.0,76392106
seed_0009_1779838222,9,1779838222,True,True,True,True,True,True,1009,1009,True,True,True,True,True,True,True,d22aef0fb4f3669d,5,6000,200,28.0,30.0,28.0,811.0,844.0,4.0,8695.549973964691,200.0,1009.0,11728.0,20951.0,False,,songbird,flightless bird,junco,ostrich,1779848815.8308372,1779854570.7397835,5.0,3.0,2.0,junco|junco|junco,811.0,28.0,28.0,844.0,0.0485781990521327,1356.7089397907257,5.245208740234375e-06,0.00575101375579834,142.0,46.0,153.0,169111714
