seed_dir,target,la,lt,cell_kind,cross_subkind,min_TgtBal,tb0,tb_final,gen50,gen90,gen99,frac_imp_by_gen100,last_improve_gen,stuck,is11
seed_0000_1779779762,ostrich,0,0,within,,0.00048542022705078125,1.262213945388794,0.00048542022705078125,20,111,111,0.7837858623643325,111,False,False
seed_0001_1779779762,ostrich,0,0,within,,0.6406810283660889,1.3767151832580566,0.6406810283660889,10,91,127,0.9174957752309492,127,True,False
seed_0002_1779796697,ostrich,0,0,within,,0.0649878978729248,1.1958773136138916,0.0649878978729248,9,99,99,1.0,99,False,False
seed_0003_1779794022,ostrich,0,1,within,,4.57763671875e-05,0.010037779808044434,4.57763671875e-05,2,31,43,0.9937484341259142,135,False,False
seed_0004_1779812704,ostrich,0,1,within,,0.00019621849060058594,0.002635955810546875,0.00019621849060058594,90,196,196,0.779634515782273,196,False,False
seed_0005_1779808731,ostrich,0,1,within,,0.0001773834228515625,0.020749688148498535,0.0001773834228515625,1,7,195,0.9871532626772438,195,False,False
seed_0006_1779825618,ostrich,1,0,within,,0.0104445219039917,0.47358858585357666,0.0104445219039917,6,66,75,1.0,75,False,False
seed_0007_1779823735,ostrich,1,0,within,,0.028965473175048828,0.9751131534576416,0.028965473175048828,3,33,62,0.9994712015907546,118,False,False
seed_0008_1779843581,ostrich,1,0,within,,0.0759584903717041,0.9465365409851074,0.0759584903717041,4,80,145,0.912604625699958,145,False,False
seed_0009_1779838222,ostrich,1,1,within,,5.245208740234375e-06,0.00575101375579834,5.245208740234375e-06,4,10,10,0.997385837880454,153,False,True
seed_0010_1779858298,ostrich,1,1,within,,8.785724639892578e-05,0.09011805057525635,8.785724639892578e-05,1,4,47,1.0,47,False,True
seed_0011_1779854570,ostrich,1,1,within,,7.62939453125e-05,0.06545424461364746,7.62939453125e-05,1,1,19,1.0,19,False,True
seed_0012_1779872483,green iguana,0,0,across,animal-animal,0.003281831741333008,3.338740348815918,0.003281831741333008,20,33,60,0.9983423072900952,115,False,False
seed_0013_1779870048,green iguana,0,0,across,animal-animal,1.222412347793579,3.1730778217315674,1.222412347793579,9,107,123,0.8989110310297977,123,True,False
seed_0014_1779884961,green iguana,0,0,across,animal-animal,0.00027751922607421875,3.234121799468994,0.00027751922607421875,13,55,55,0.9996679378512955,138,False,False
seed_0015_1779886296,green iguana,0,1,across,animal-animal,0.001950979232788086,0.31664514541625977,0.001950979232788086,10,10,30,1.0,40,False,False
seed_0016_1779899585,green iguana,0,1,across,animal-animal,0.13800978660583496,0.8602373600006104,0.13800978660583496,11,24,149,0.9411866070786025,149,True,False
seed_0017_1779900659,green iguana,0,1,across,animal-animal,0.0001270771026611328,1.3424277305603027,0.0001270771026611328,3,4,17,0.997894677760298,146,False,False
seed_0018_1779913977,green iguana,0,2,across,animal-animal,0.00029206275939941406,0.3881065845489502,0.00029206275939941406,1,9,83,0.9983991265280227,131,False,False
seed_0019_1779914598,green iguana,0,2,across,animal-animal,0.00021839141845703125,0.1121830940246582,0.00021839141845703125,3,21,91,0.9957752537190118,135,False,False
seed_0020_1779928083,green iguana,0,2,across,animal-animal,0.0015227794647216797,0.48459959030151367,0.0015227794647216797,2,7,13,0.9994803005274481,151,False,False
seed_0021_1779931262,green iguana,1,0,across,animal-animal,0.0007736682891845703,2.136782646179199,0.0007736682891845703,10,16,20,0.9996352300366858,113,False,False
seed_0022_1779943150,green iguana,1,0,across,animal-animal,0.0011281967163085938,2.823103904724121,0.0011281967163085938,7,9,55,0.9989583671278949,163,False,False
seed_0023_1779949141,green iguana,1,0,across,animal-animal,0.00018548965454101562,3.2214910984039307,0.00018548965454101562,10,22,53,0.9991258321377146,105,False,False
seed_0024_1779959809,green iguana,1,1,across,animal-animal,0.00026869773864746094,0.9037002325057983,0.00026869773864746094,1,11,27,0.9984846671512811,170,False,True
seed_0025_1779966185,green iguana,1,1,across,animal-animal,0.334409236907959,1.530099630355835,0.334409236907959,16,74,97,1.0,97,True,True
seed_0026_1779976995,green iguana,1,1,across,animal-animal,0.011156320571899414,1.1713383197784424,0.011156320571899414,8,18,84,0.996369310807134,186,False,True
seed_0027_1779981692,green iguana,1,2,across,animal-animal,0.0012967586517333984,0.12419486045837402,0.0012967586517333984,4,8,10,1.0,35,False,False
seed_0028_1779993131,green iguana,1,2,across,animal-animal,0.00038552284240722656,0.3681321144104004,0.00038552284240722656,1,1,13,1.0,16,False,False
seed_0029_1779998847,green iguana,1,2,across,animal-animal,3.314018249511719e-05,0.2813553810119629,3.314018249511719e-05,2,8,38,0.9969456358781,132,False,False
seed_0030_1780009894,green iguana,2,0,across,animal-animal,0.000899195671081543,0.01252293586730957,0.000899195671081543,2,42,42,0.9988616201913709,168,False,False
seed_0031_1780011438,green iguana,2,0,across,animal-animal,0.00045490264892578125,0.14911699295043945,0.00045490264892578125,2,26,31,0.9983657667424711,115,False,False
seed_0032_1780024232,green iguana,2,0,across,animal-animal,0.001093149185180664,0.019102096557617188,0.001093149185180664,12,12,22,0.9914873899516781,157,False,False
seed_0033_1780025132,green iguana,2,1,across,animal-animal,0.002497434616088867,0.03678488731384277,0.002497434616088867,5,5,9,1.0,9,False,False
seed_0034_1780039061,green iguana,2,1,across,animal-animal,0.0002741813659667969,0.04690408706665039,0.0002741813659667969,7,10,104,0.9888945699969321,104,False,False
seed_0035_1780038236,green iguana,2,1,across,animal-animal,8.249282836914062e-05,0.006056785583496094,8.249282836914062e-05,26,180,186,0.8129938542581212,186,False,False
seed_0036_1780052734,green iguana,2,2,across,animal-animal,0.0007815361022949219,0.18321800231933594,0.0007815361022949219,1,2,10,1.0,65,False,False
seed_0037_1780054076,green iguana,2,2,across,animal-animal,5.841255187988281e-05,0.1580815315246582,5.841255187988281e-05,1,7,9,1.0,9,False,False
seed_0038_1780069542,green iguana,2,2,across,animal-animal,0.0001373291015625,0.03263115882873535,0.0001373291015625,1,1,1,1.0,1,False,False
seed_0039_1780067455,boa constrictor,0,0,across,animal-animal,0.0001418590545654297,0.1568441390991211,0.0001418590545654297,7,11,106,0.9684765624405673,106,False,False
seed_0040_1780090517,boa constrictor,0,0,across,animal-animal,0.00038933753967285156,0.7689743041992188,0.00038933753967285156,2,4,38,0.99486983660594,174,False,False
seed_0041_1780081777,boa constrictor,0,0,across,animal-animal,0.0014677047729492188,0.4716653823852539,0.0014677047729492188,2,25,86,1.0,86,False,False
seed_0042_1780105620,boa constrictor,0,1,across,animal-animal,0.6354809999465942,4.722833633422852,0.6354809999465942,9,75,174,0.9325779717380822,191,True,False
seed_0043_1780094603,boa constrictor,0,1,across,animal-animal,0.4242240786552429,4.465825080871582,0.4242240786552429,13,63,195,0.9178103091204124,195,True,False
seed_0044_1780120986,boa constrictor,0,1,across,animal-animal,0.6527762413024902,3.863050937652588,0.6527762413024902,20,69,164,0.9881058247284712,164,True,False
seed_0045_1780111250,boa constrictor,0,2,across,animal-animal,0.0005068778991699219,0.068359375,0.0005068778991699219,5,15,39,0.9969008482258938,169,False,False
seed_0046_1780138214,boa constrictor,0,2,across,animal-animal,0.0010478496551513672,0.39494359493255615,0.0010478496551513672,8,16,40,1.0,66,False,False
seed_0047_1780129380,boa constrictor,0,2,across,animal-animal,0.0002498626708984375,0.7988846302032471,0.0002498626708984375,3,5,15,1.0,65,False,False
seed_0048_1780152376,boa constrictor,1,0,across,animal-animal,0.00020647048950195312,0.30942368507385254,0.00020647048950195312,1,1,1,1.0,60,False,False
seed_0049_1780140340,boa constrictor,1,0,across,animal-animal,0.00038611888885498047,0.7686487436294556,0.00038611888885498047,6,11,11,1.0,76,False,False
seed_0050_1780167115,boa constrictor,1,0,across,animal-animal,8.33272933959961e-05,0.1271042823791504,8.33272933959961e-05,1,8,16,0.9951920595309935,160,False,False
seed_0051_1780155232,boa constrictor,1,1,across,animal-animal,0.6016263961791992,1.5610013008117676,0.6016263961791992,6,24,37,1.0,49,True,True
seed_0052_1780182692,boa constrictor,1,1,across,animal-animal,0.6031532883644104,3.078425884246826,0.6031532883644104,4,76,152,0.9869488149770482,152,True,True
seed_0053_1780174965,boa constrictor,1,1,across,animal-animal,0.008789479732513428,1.170642614364624,0.008789479732513428,58,90,178,0.9434423550483949,194,False,True
seed_0054_1780198153,boa constrictor,1,2,across,animal-animal,1.430511474609375e-06,0.4006316661834717,1.430511474609375e-06,7,15,15,0.9986598149806738,155,False,False
seed_0055_1780190185,boa constrictor,1,2,across,animal-animal,0.0008764266967773438,0.646704912185669,0.0008764266967773438,3,6,10,0.9972799773774449,164,False,False
seed_0056_1780215148,boa constrictor,1,2,across,animal-animal,0.0003631114959716797,0.2346198558807373,0.0003631114959716797,1,9,18,0.9954597453142048,194,False,False
seed_0057_1780206561,boa constrictor,2,0,across,animal-animal,0.00019502639770507812,0.14990544319152832,0.00019502639770507812,1,1,10,1.0,14,False,False
seed_0058_1780227998,boa constrictor,2,0,across,animal-animal,0.0008416175842285156,0.1513822078704834,0.0008416175842285156,1,1,7,1.0,71,False,False
seed_0059_1780224075,boa constrictor,2,0,across,animal-animal,0.0002422332763671875,0.15617847442626953,0.0002422332763671875,5,10,29,1.0,49,False,False
seed_0060_1780260183,boa constrictor,2,1,across,animal-animal,0.0011653900146484375,1.1150379180908203,0.0011653900146484375,14,22,72,1.0,72,False,False
seed_0061_1780475753,boa constrictor,2,1,across,animal-animal,0.0010814666748046875,2.5635204315185547,0.0010814666748046875,4,18,33,1.0,91,False,False
seed_0062_1780268107,boa constrictor,2,1,across,animal-animal,0.7489070892333984,1.2038908004760742,0.7489070892333984,8,176,176,0.7850383055430374,176,True,False
seed_0063_1780475753,boa constrictor,2,2,across,animal-animal,0.0003399848937988281,0.03718972206115723,0.0003399848937988281,5,10,13,0.9951021939841743,182,False,False
seed_0064_1780276325,boa constrictor,2,2,across,animal-animal,1.6689300537109375e-05,0.20743370056152344,1.6689300537109375e-05,2,7,26,1.0,78,False,False
seed_0065_1780489548,boa constrictor,2,2,across,animal-animal,0.0003440380096435547,0.2293534278869629,0.0003440380096435547,1,2,16,0.9977689516779711,149,False,False
seed_0066_1780283706,cello,0,0,across,animal-artifact,0.23205804824829102,1.4495295286178589,0.23205804824829102,7,19,168,0.9878964731925564,182,True,False
seed_0067_1780491913,cello,0,0,across,animal-artifact,0.00026535987854003906,1.5552911758422852,0.00026535987854003906,2,10,15,0.9992091687363764,161,False,False
seed_0068_1780292716,cello,0,0,across,animal-artifact,0.0032396316528320312,1.10172700881958,0.0032396316528320312,24,37,67,1.0,67,False,False
seed_0069_1780504147,cello,0,1,across,animal-artifact,0.0001652240753173828,1.5985398292541504,0.0001652240753173828,8,19,49,1.0,65,False,False
