seed_idx,run_dir,target,la,lt,label_a,label_b,common_ancestor_level,seed_idx_in_class,image_dim,crossed,frac_crossed,first_gen_crossed,max_p_class_b,min_tgtbal,median_tgtbal,nb_mean_img,nb_med_img,nb_mean_txt,nb_med_txt,nb_mean_img_frac,all_mean_img,all_mean_txt,all_mean_img_frac,rho_tgtbal_img,p_rho_img,rho_tgtbal_txt,p_rho_txt,best_tgtbal,best_gen,best_p_a,best_p_b,best_pred,best_n_act_img,best_n_act_txt,best_token_edits,baseline_text,best_text,n_zero_txt_rows,lalt,jumpiness
0,seed_0000_1779779762,ostrich,0,0,sparrow,ratite,2.0,0,222,False,0.0,-1,0.4998786449432373,0.0004854202270507,1.6763267517089844,15.94,13.0,8.36,8.0,0.0718018018018018,13.379666666666669,8.949833333333334,0.0602687687687687,-0.161493570598433,2.4165702424930556e-36,-0.0525095800232832,4.714762158825198e-05,0.0004854202270507,111,0.5001213550567627,0.4998786449432373,sparrow,13,8,5,,What is the white quoet in thi s cousry?,0,"(0, 0)",0.4345137167739547
1,seed_0001_1779779762,ostrich,0,0,sparrow,ratite,2.0,1,276,False,0.0,-1,0.3450925946235657,0.6406810283660889,1.858280897140503,5.0,5.0,6.94,7.0,0.0181159420289855,5.714166666666666,7.795166666666667,0.0207035024154589,0.1710612801162099,1.248646527148501e-40,-0.1492073849262717,3.251940965512842e-31,0.6406810283660889,127,0.6549074053764343,0.3450925946235657,sparrow,5,7,4,,What is the mcаn resolution in this to pic?,0,"(0, 0)",0.05757102765614278
2,seed_0002_1779796697,ostrich,0,0,sparrow,ratite,2.0,2,222,True,0.0001666666666666,99,0.5162412524223328,0.0649878978729248,1.4834890365600586,23.3,18.0,9.44,9.0,0.1049549549549549,18.529166666666665,7.987833333333334,0.0834647147147147,-0.3987700913114808,7.04320692352758e-228,-0.2058487780815738,2.0170747051946816e-58,0.0649878978729248,99,0.4837587475776672,0.5162412524223328,ratite,17,9,8,,W hat is the dobmnant feature in thi s quze tion?,0,"(0, 0)",0.2030900140550692
3,seed_0003_1779794022,ostrich,0,1,sparrow,flightless bird,2.0,0,222,True,0.4286666666666666,0,0.7639535665512085,4.57763671875e-05,0.0683039426803588,7.28,7.0,6.0,6.0,0.0327927927927927,6.849166666666667,6.808166666666667,0.0308521021021021,0.0629725842232025,1.0519418225435187e-06,0.312246724117104,8.06863531462197e-136,4.57763671875e-05,135,0.5000114440917969,0.4999885559082031,sparrow,8,6,4,,What is the current object in thi s image?,0,"(0, 1)",0.32110965007200437
4,seed_0004_1779812704,ostrich,0,1,sparrow,flightless bird,2.0,1,276,True,0.0728333333333333,0,0.6986905932426453,0.0001962184906005,0.592341959476471,4.86,5.0,6.84,7.0,0.0176086956521739,4.224833333333334,6.1695,0.0153073671497584,-0.0385957178547937,0.002788837640006,-0.3899930295505237,3.4306150516308723e-217,0.0001962184906005,196,0.5000490546226501,0.4999509453773498,sparrow,5,8,4,,What іs the mani mebsage in this coursj?,0,"(0, 1)",0.5518393232261793
5,seed_0005_1779808731,ostrich,0,1,sparrow,flightless bird,2.0,2,222,True,0.2928333333333333,0,0.7688847780227661,0.0001773834228515,0.2068796157836914,4.74,5.0,11.2,11.0,0.0213513513513513,6.827,10.058833333333334,0.0307522522522522,-0.0328513836889886,0.0109335999174034,0.0799496072852137,5.592459183281792e-10,0.0001773834228515,195,0.5000443458557129,0.4999556541442871,sparrow,6,10,5,,What is the photographnс figure in thi s topic?,0,"(0, 1)",0.49623992014267443
6,seed_0006_1779825618,ostrich,1,0,songbird,ratite,2.0,0,222,False,0.0,-1,0.4973888993263244,0.0104445219039917,1.2671509981155396,5.58,6.0,6.1,6.0,0.0251351351351351,4.146,5.878166666666667,0.0186756756756756,-0.1984119771326377,2.530029256330317e-54,-0.4528566725362242,2.6791234871344906e-301,0.0104445219039917,75,0.5026111006736755,0.4973888993263244,songbird,7,6,5,,What is the rmltaed concept in thi s essay?,0,"(1, 0)",0.3171951153337151
7,seed_0007_1779823735,ostrich,1,0,songbird,ratite,2.0,1,276,False,0.0,-1,0.492759108543396,0.0289654731750488,1.0811370611190796,6.92,7.0,9.5,10.0,0.0250724637681159,5.881666666666667,9.726166666666666,0.0213103864734299,-0.2374993642579986,1.0395667512625687e-77,-0.4518819967452639,7.463932610319952e-300,0.0289654731750488,118,0.5072408318519592,0.492759108543396,songbird,5,10,5,,What is the cukrent information in thi s book?,0,"(1, 0)",0.41710030482352994
8,seed_0008_1779843581,ostrich,1,0,songbird,ratite,2.0,2,222,False,0.0,-1,0.4810194969177246,0.0759584903717041,1.0775023102760315,8.48,8.0,7.44,7.0,0.0381981981981982,6.852833333333334,7.9485,0.0308686186186186,-0.2214862939904217,1.4210466893590684e-67,-0.278685336806431,1.850964661577477e-107,0.0759584903717041,145,0.5189805030822754,0.4810194969177246,songbird,8,7,4,,What is the fdoal informa tion in this book?,0,"(1, 0)",0.21197659455840712
9,seed_0009_1779838222,ostrich,1,1,songbird,flightless bird,2.0,0,222,True,0.1931666666666666,0,0.6571336388587952,5.245208740234375e-06,0.1928565502166748,6.3,4.0,10.78,12.0,0.0283783783783783,6.340833333333333,9.793333333333331,0.0285623123123123,0.1321935774589848,8.433874462952936e-25,-0.1648779649136796,7.875753691904503e-38,5.245208740234375e-06,153,0.5000013113021851,0.4999986886978149,songbird,9,8,5,,What іs the main re asdn in thiѕ area?,0,"(1, 1)",0.4879514610883231
10,seed_0010_1779858298,ostrich,1,1,songbird,flightless bird,2.0,1,276,True,0.1998333333333333,0,0.6572830677032471,8.785724639892578e-05,0.4687788486480713,7.68,7.5,8.2,8.5,0.0278260869565217,8.704,6.664,0.0315362318840579,0.3433818594247347,1.1699258224581876e-165,-0.5352964934347458,0.0,8.785724639892578e-05,47,0.4999780654907226,0.5000219941139221,flightless bird,8,7,4,,What іs the signiifcint resol ution in this image?,0,"(1, 1)",0.700536919774893
