pos,label,near_boundary,full_trace,enrichment
0,mlm0,0.925,0.9,1.03
1,mlm1,0.914,0.79,1.16
2,mlm2,0.867,0.743,1.17
3,tog0,0.169,0.14,1.21
4,tog1,0.247,0.214,1.15
5,tog2,0.129,0.126,1.03
6,tog3,0.36,0.231,1.56
7,tog4,0.199,0.19,1.05
8,tog5,0.514,0.495,1.04
9,tog6,0.288,0.296,0.97
10,tog7,0.487,0.489,1.0
11,tog8,0.308,0.308,1.0
12,tog9,0.328,0.311,1.05
13,tog10,0.474,0.492,0.96
14,tog11,0.19,0.176,1.08
15,tog12,0.361,0.341,1.06
16,op0,0.623,0.547,1.14
17,op1,0.255,0.269,0.95
18,op2,0.423,0.452,0.93
