seed_idx,run_dir,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,seed_idx_in_class,cell_id,n_in_cell,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50,gen_first_cross,n_cross_rows,stuck,pop0_p_class_a_median,runtime_seconds
0,exp101_margin_predictor_seed_0_1781094068,junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,0,"junco->ostrich(0,0)",2,2.0720633268356323,1.4494140148162842,0.7369203567504883,0.7307436466217041,0.5663192272186279,0.44898247059928453,0.4526379761599063,0.5633417175787817,0.40813114962876873,False,,0,True,0.8881580829620361,3130.9563751220703
1,exp101_margin_predictor_seed_1_1781094068,junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,1,"junco->ostrich(0,0)",2,1.917767882347107,1.401917815208435,1.087869644165039,0.8746943473815918,0.0032448768615722656,0.2462191826400691,0.34093972109016674,2.7715978204473495,2.635524334085068,True,21.0,65,False,0.8718884289264679,3158.7741997241974
2,exp101_margin_predictor_seed_2_1781097247,junco,ostrich,0,1,sparrow,flightless bird,2.0,within_bucket,0,"junco->ostrich(0,1)",1,0.3545381426811218,0.0028420686721801758,0.0028420686721801758,0.0004336833953857422,5.245208740234375e-05,2.0960283977658887,2.91249017077498,3.829900189016257,1.7338717912503685,True,0.0,514,False,0.5180826783180237,3210.221535205841
6,exp101_margin_predictor_seed_6_1781097391,junco,ostrich,1,1,songbird,flightless bird,2.0,within_bucket,0,"junco->ostrich(1,1)",1,0.3288828730583191,0.019653379917144775,0.0014420747756958008,0.0010533332824707031,0.0007059574127197266,2.3580534773264348,2.4944754507751496,2.6682627549212667,1.4446587467459027,True,0.0,331,False,0.5796365737915039,3150.9185988903046
26,exp101_margin_predictor_seed_26_1781100553,junco,boa constrictor,0,0,sparrow,constrictor,,wall_repl,0,"junco->boa constrictor(0,0)",1,1.9882236123085022,1.150118350982666,0.009900927543640137,0.0034351348876953125,0.0005769729614257812,2.302789344913315,2.762521432005472,3.5373097658365174,3.299587071619059,True,2.0,204,False,0.87955442070961,3167.6995708942413
28,exp101_margin_predictor_seed_28_1781100818,junco,boa constrictor,0,1,sparrow,snake,,wall_repl,0,"junco->boa constrictor(0,1)",2,8.279857635498047,4.610306739807129,2.0272040367126465,1.4266321659088135,0.6231383085250854,0.6111254072184793,0.7637108578355937,1.1234384184630193,0.8691453703857235,False,,0,True,0.9997408092021942,3129.4149186611176
29,exp101_margin_predictor_seed_29_1781104086,junco,boa constrictor,0,1,sparrow,snake,,wall_repl,1,"junco->boa constrictor(0,1)",2,10.401365756988525,4.429581642150879,2.0427303314208984,1.2936753034591675,0.855035126209259,0.7068793307615061,0.9052650808635919,1.0851064117102112,0.714378754022302,False,,0,True,0.9999696016311646,3181.913161754608
30,exp101_margin_predictor_seed_30_1781104161,junco,boa constrictor,0,2,sparrow,reptile,,wall_repl,0,"junco->boa constrictor(0,2)",1,1.6489410996437073,0.5080482959747314,0.07610964775085449,0.07610964775085449,0.006652355194091797,1.335765430922186,1.335765430922186,2.394229713104079,1.8829295692811805,True,9.0,32,False,0.8387045860290527,3142.2769763469696
44,exp101_margin_predictor_seed_44_1781107385,junco,cello,0,0,sparrow,cello,,wall_repl,0,"junco->cello(0,0)",1,2.7420679330825806,1.6762728691101074,0.577852725982666,0.49907100200653076,0.49907100200653076,0.6762610435972757,0.7399158735941458,0.7399158735941458,0.5261823795299642,False,,0,True,0.939151406288147,3166.9595670700073
50,exp101_margin_predictor_seed_50_1781107428,junco,cello,1,0,songbird,cello,,wall_repl,0,"junco->cello(1,0)",1,3.3700013160705566,0.7914912700653076,0.655029833316803,0.3441193103790283,0.3261798024177551,0.7113689901011548,0.9909210265783356,1.0141730051559985,0.3849890637557598,False,,0,True,0.9666680097579956,3156.0784690380096
