outcome,subset,n,rho,p,ci_lo,ci_hi
dex_eroded_50,all_40_cells,40,-0.7116322701688557,2.6344469929960533e-07,-0.8254326561324304,-0.5344978719101419
dex_eroded_50,non_junco_31_cells,31,-0.7564516129032258,8.530736433432447e-07,-0.8760387073972884,-0.555730081976745
dex_eroded_50,junco_anchor_9_cells,9,-0.6,0.0876228290414024,-0.9316239316239315,0.14782608695652175
dex_eroded_50,stratum=within_bucket,18,-0.8596491228070176,4.827997425048475e-06,-0.9501039501039503,-0.6489028213166145
dex_eroded_50,stratum=wall_repl,12,-0.6573426573426573,0.020185498509854103,-0.9071428571428571,-0.16129032258064516
dex_eroded_50,stratum=cross_breadth,10,-0.6848484848484848,0.02888279750673276,-0.9875776397515528,-0.04516129032258064
dex_eroded_min_50,all_40_cells,40,-0.6992495309568482,5.183772080013069e-07,-0.8100620117685386,-0.5207148518091207
dex_eroded_min_50,non_junco_31_cells,31,-0.7528225806451614,1.0303352414303604e-06,-0.8680996300427949,-0.5534719719070263
dex_eroded_min_50,junco_anchor_9_cells,9,-0.6166666666666666,0.07692880993776309,-0.9272727272727272,0.17857142857142855
dex_eroded_min_50,stratum=within_bucket,18,-0.7729618163054695,0.00016913916228325986,-0.8957247132429614,-0.5090565815892782
dex_eroded_min_50,stratum=wall_repl,12,-0.6293706293706295,0.028319671295760022,-0.906474820143885,-0.11428571428571428
dex_eroded_min_50,stratum=cross_breadth,10,-0.709090909090909,0.021665923367532435,-0.9846453900709221,-0.075
dex_eroded_20,all_40_cells,40,-0.730206378986867,8.915607350607015e-08,-0.8429312242870365,-0.5431880021818724
dex_eroded_20,non_junco_31_cells,31,-0.7955645161290323,8.861451478821963e-08,-0.9008910639602032,-0.5844586718053533
dex_eroded_20,junco_anchor_9_cells,9,-0.4666666666666666,0.20538635110581185,-0.8532110091743119,0.2631578947368421
dex_eroded_20,stratum=within_bucket,18,-0.8431372549019607,1.1129003812786908e-05,-0.9458333333333335,-0.6128947812869455
dex_eroded_20,stratum=wall_repl,12,-0.7692307692307694,0.0034464502618274493,-0.9217081850533808,-0.35000000000000003
dex_eroded_20,stratum=cross_breadth,10,-0.6969696969696969,0.02509667588225183,-0.9506890611541773,-0.05
