threshold,n_high,cross_rate_high,n_low,cross_rate_low,gap
2.0,20,0.1,20,0.75,0.65
2.25,18,0.05555555555555555,22,0.7272727272727273,0.6717171717171717
2.5,16,0.0625,24,0.6666666666666666,0.6041666666666666
2.75,14,0.0,26,0.6538461538461539,0.6538461538461539
3.0,14,0.0,26,0.6538461538461539,0.6538461538461539
3.25,13,0.0,27,0.6296296296296297,0.6296296296296297
3.5,11,0.0,29,0.5862068965517241,0.5862068965517241
3.75,10,0.0,30,0.5666666666666667,0.5666666666666667
4.0,10,0.0,30,0.5666666666666667,0.5666666666666667
4.25,9,0.0,31,0.5483870967741935,0.5483870967741935
4.5,9,0.0,31,0.5483870967741935,0.5483870967741935
4.75,9,0.0,31,0.5483870967741935,0.5483870967741935
5.0,9,0.0,31,0.5483870967741935,0.5483870967741935
