seed_idx,run_dir,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,seed_idx_in_class,cell_id,n_in_cell,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50,crossed_floor_1em2,gen_first_cross,n_cross_rows,stuck,pop0_p_class_a_median,runtime_seconds
0,exp101q_margin_predictor_qwen_seed_0_1781185212,junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,0,"junco->ostrich(0,0)",2,5.231909275054932,3.890711784362793,2.617852210998535,1.7367197275161743,0.4454169273376465,0.3007150792952836,0.47893046691847485,1.0698934867541376,0.9412623427265763,False,False,,0,True,0.9946765005588531,6071.230720996857
1,exp101q_margin_predictor_qwen_seed_1_1781191429,junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,1,"junco->ostrich(0,0)",2,6.031275749206543,4.726585388183594,3.6850180625915527,2.9476351737976074,2.729616403579712,0.21396956386595514,0.31093545454801214,0.34430756543669305,0.23844588867259667,False,False,,0,True,0.9975993037223816,22269.17081594467
2,exp101q_margin_predictor_qwen_seed_2_1781213809,junco,ostrich,0,1,sparrow,flightless bird,2.0,within_bucket,0,"junco->ostrich(0,1)",1,4.65808367729187,3.816601514816284,3.4570579528808594,3.042807102203369,2.847850799560547,0.12950062592550168,0.18493286461691494,0.2136900532473572,0.1271595856938412,False,False,,0,True,0.9906044006347656,9293.408434867859
6,exp101q_margin_predictor_qwen_seed_6_1781223228,junco,ostrich,1,1,songbird,flightless bird,2.0,within_bucket,0,"junco->ostrich(1,1)",1,4.630526304244995,4.102700710296631,2.8902716636657715,2.8752994537353516,2.628683567047119,0.20469169053518932,0.20694727376834648,0.2458920454047235,0.19333152638432696,False,False,,0,True,0.9903445541858673,9483.079772233963
26,exp101q_margin_predictor_qwen_seed_26_1781232826,junco,boa constrictor,0,0,sparrow,constrictor,,wall_repl,0,"junco->boa constrictor(0,0)",1,5.291863441467285,4.821706295013428,3.981961488723755,3.4593591690063477,3.407832622528076,0.12351157306565384,0.1846129734165694,0.19113037250800982,0.1507224966130206,False,False,,0,True,0.9949928224086761,9751.94929099083
28,exp101q_margin_predictor_qwen_seed_28_1781242712,junco,boa constrictor,0,1,sparrow,snake,,wall_repl,0,"junco->boa constrictor(0,1)",2,0.7726412713527679,0.04370689392089844,0.009459972381591797,0.0005141496658325195,1.0132789611816406e-05,1.912088034192402,3.1768883447980567,4.882248877229716,3.6348209185224376,True,True,0.0,394,False,0.6840768158435822,11337.214663982391
29,exp101q_margin_predictor_qwen_seed_29_1781254128,junco,boa constrictor,0,1,sparrow,snake,,wall_repl,1,"junco->boa constrictor(0,1)",2,2.8089314699172974,0.365156888961792,0.005690157413482666,0.0002932548522949219,0.0002932548522949219,2.6934168628007393,3.9812959369266134,3.9812959369266134,3.095234291517889,True,True,0.0,435,False,0.9422352612018585,9543.277120828629
30,exp101q_margin_predictor_qwen_seed_30_1781270364,junco,boa constrictor,0,2,sparrow,reptile,,wall_repl,0,"junco->boa constrictor(0,2)",1,4.852149486541748,4.1666460037231445,3.3305578231811523,3.1292905807495117,3.008894443511963,0.16341719425806964,0.1904882793948782,0.20752721996955487,0.1413796522589191,False,False,,0,True,0.9922485947608948,4937.933365106583
44,exp101q_margin_predictor_qwen_seed_44_1781275449,junco,cello,0,0,sparrow,cello,,wall_repl,0,"junco->cello(0,0)",1,3.630637526512146,2.103026866912842,0.21791741251945496,0.09153950214385986,0.002264469861984253,1.2216909586443148,1.5983743461369437,3.2050163472396243,2.967878275991099,True,True,9.0,51,False,0.9741841554641724,12333.032274961472
50,exp101q_margin_predictor_qwen_seed_50_1781287911,junco,cello,1,0,songbird,cello,,wall_repl,0,"junco->cello(1,0)",1,2.2651326656341553,1.5292141437530518,0.2503417730331421,0.05061143636703491,0.004258632659912109,0.9565603193350914,1.6508449802254344,2.7258234626879125,2.5551981257470553,True,True,10.0,29,False,0.9059408903121948,7903.110733747482
