level,outcome,subset,n,rho,p,ci_lo,ci_hi
cell,dex_eroded_50,all_40_cells,40,-0.7666041275797374,8.06698597238092e-09,-0.8824646746686163,-0.5683094817047012
cell,dex_eroded_50,non_junco_31_cells,31,-0.6959677419354838,1.3785597943862993e-05,-0.8731066596708669,-0.40800274393174957
cell,dex_eroded_50,junco_anchor_9_cells,9,-0.6833333333333333,0.04244227208707231,-1.0,0.052631578947368425
cell,dex_eroded_50,stratum=within_bucket,18,-0.7956656346749225,7.86687183973289e-05,-0.9518337203443669,-0.4505723204994797
cell,dex_eroded_50,stratum=wall_repl,12,-0.8321678321678322,0.0007854416778536138,-0.992831541218638,-0.41935483870967744
cell,dex_eroded_50,stratum=cross_breadth,10,-0.7575757575757575,0.011143446799694208,-1.0,-0.19746680642907616
cell,dex_eroded_min_50,all_40_cells,40,-0.6489681050656662,5.911789688480207e-06,-0.810832028644677,-0.38956960156532666
cell,dex_eroded_min_50,non_junco_31_cells,31,-0.5487903225806452,0.0013893688139272754,-0.7979758107389688,-0.188587616349656
cell,dex_eroded_min_50,junco_anchor_9_cells,9,-0.43333333333333335,0.2439524358800516,-0.9304347826086957,0.43589743589743585
cell,dex_eroded_min_50,stratum=within_bucket,18,-0.7027863777089782,0.0011427190651563898,-0.9139559286463799,-0.320165290420765
cell,dex_eroded_min_50,stratum=wall_repl,12,-0.3846153846153847,0.21702022575997754,-0.8021978021978021,0.36880385876610916
cell,dex_eroded_min_50,stratum=cross_breadth,10,-0.6363636363636362,0.04791172612997547,-0.9580492424242425,0.0375
cell,dex_eroded_20,all_40_cells,40,-0.8354596622889308,2.0091385185608104e-11,-0.9152177948454652,-0.6891367091929439
cell,dex_eroded_20,non_junco_31_cells,31,-0.775,3.0819713082515815e-07,-0.9020247872261103,-0.5637675595606095
cell,dex_eroded_20,junco_anchor_9_cells,9,-0.7,0.03576957497026169,-1.0,0.08108108108108109
cell,dex_eroded_20,stratum=within_bucket,18,-0.7997936016511867,6.77596194348165e-05,-0.9473684210526315,-0.49947862356621475
cell,dex_eroded_20,stratum=wall_repl,12,-0.8041958041958043,0.0016147689860699299,-1.0,-0.30434782608695654
cell,dex_eroded_20,stratum=cross_breadth,10,-0.9393939393939393,5.484052998513666e-05,-1.0,-0.6753246753246752
cell,min_tgtbal_50,all_40_cells,40,0.8371482176360227,1.6775014660124638e-11,0.6846047251354908,0.9148954182569241
cell,min_tgtbal_50,non_junco_31_cells,31,0.7822580645161292,2.0155105745226263e-07,0.5616237377756558,0.9085210051656902
cell,min_tgtbal_50,junco_anchor_9_cells,9,0.6833333333333333,0.04244227208707231,-0.052631578947368425,1.0
cell,min_tgtbal_50,stratum=within_bucket,18,0.8617131062951496,4.317684006760913e-06,0.575051532769556,0.9707426652966931
cell,min_tgtbal_50,stratum=wall_repl,12,0.8601398601398602,0.0003316683391269209,0.5362189440993789,1.0
cell,min_tgtbal_50,stratum=cross_breadth,10,0.8545454545454544,0.0016368033159867143,0.4437086092715231,1.0
seed,dex_eroded_50,all_46_seeds,46,-0.7295097132284921,8.879871013157738e-09,,
seed,min_tgtbal_50,all_46_seeds,46,0.8079555966697501,1.1440252606429627e-11,,
seed,dex_eroded_50,non_junco_35_seeds,35,-0.6568627450980392,1.8207942540565294e-05,,
seed,min_tgtbal_50,non_junco_35_seeds,35,0.7585434173669469,1.2958086600498576e-07,,
seed,dex_eroded_50,junco_anchor_seeds,11,-0.6727272727272727,0.02331303983318597,,
seed,min_tgtbal_50,junco_anchor_seeds,11,0.7818181818181819,0.004473162252783038,,
