cross_def,threshold,n_high,n_cross_high,cross_rate_high,n_low,n_cross_low,cross_rate_low,gap
p_b>p_a,2.0,27,10,0.37037037037037035,13,12,0.9230769230769231,0.5527065527065528
p_b>p_a,2.25,26,9,0.34615384615384615,14,13,0.9285714285714286,0.5824175824175825
p_b>p_a,2.5,21,7,0.3333333333333333,19,15,0.7894736842105263,0.456140350877193
p_b>p_a,2.75,19,5,0.2631578947368421,21,17,0.8095238095238095,0.5463659147869675
p_b>p_a,3.0,18,4,0.2222222222222222,22,18,0.8181818181818182,0.595959595959596
p_b>p_a,3.25,18,4,0.2222222222222222,22,18,0.8181818181818182,0.595959595959596
p_b>p_a,3.5,14,2,0.14285714285714285,26,20,0.7692307692307693,0.6263736263736264
p_b>p_a,3.75,12,1,0.08333333333333333,28,21,0.75,0.6666666666666666
p_b>p_a,4.0,12,1,0.08333333333333333,28,21,0.75,0.6666666666666666
p_b>p_a,4.25,12,1,0.08333333333333333,28,21,0.75,0.6666666666666666
p_b>p_a,4.5,11,0,0.0,29,22,0.7586206896551724,0.7586206896551724
p_b>p_a,4.75,9,0,0.0,31,22,0.7096774193548387,0.7096774193548387
p_b>p_a,5.0,7,0,0.0,33,22,0.6666666666666666,0.6666666666666666
p_b>p_a,5.25,6,0,0.0,34,22,0.6470588235294118,0.6470588235294118
p_b>p_a,5.5,5,0,0.0,35,22,0.6285714285714286,0.6285714285714286
p_b>p_a,5.75,4,0,0.0,36,22,0.6111111111111112,0.6111111111111112
p_b>p_a,6.0,3,0,0.0,37,22,0.5945945945945946,0.5945945945945946
floor<=1e-2,2.0,27,10,0.37037037037037035,13,11,0.8461538461538461,0.4757834757834758
floor<=1e-2,2.25,26,9,0.34615384615384615,14,12,0.8571428571428571,0.510989010989011
floor<=1e-2,2.5,21,7,0.3333333333333333,19,14,0.7368421052631579,0.40350877192982454
floor<=1e-2,2.75,19,5,0.2631578947368421,21,16,0.7619047619047619,0.49874686716791977
floor<=1e-2,3.0,18,4,0.2222222222222222,22,17,0.7727272727272727,0.5505050505050505
floor<=1e-2,3.25,18,4,0.2222222222222222,22,17,0.7727272727272727,0.5505050505050505
floor<=1e-2,3.5,14,2,0.14285714285714285,26,19,0.7307692307692307,0.5879120879120878
floor<=1e-2,3.75,12,1,0.08333333333333333,28,20,0.7142857142857143,0.6309523809523809
floor<=1e-2,4.0,12,1,0.08333333333333333,28,20,0.7142857142857143,0.6309523809523809
floor<=1e-2,4.25,12,1,0.08333333333333333,28,20,0.7142857142857143,0.6309523809523809
floor<=1e-2,4.5,11,0,0.0,29,21,0.7241379310344828,0.7241379310344828
floor<=1e-2,4.75,9,0,0.0,31,21,0.6774193548387096,0.6774193548387096
floor<=1e-2,5.0,7,0,0.0,33,21,0.6363636363636364,0.6363636363636364
floor<=1e-2,5.25,6,0,0.0,34,21,0.6176470588235294,0.6176470588235294
floor<=1e-2,5.5,5,0,0.0,35,21,0.6,0.6
floor<=1e-2,5.75,4,0,0.0,36,21,0.5833333333333334,0.5833333333333334
floor<=1e-2,6.0,3,0,0.0,37,21,0.5675675675675675,0.5675675675675675
