cell_id,anchor,target,la,lt,anchor_word_Q,target_word_Q,stratum_Q,n_Q,probe_Q,min_tgtbal_50_Q,dex_eroded_50_Q,crossed_50_any_Q,crossed_50_frac_Q,anchor_word_L,target_word_L,stratum_L,n_L,probe_L,min_tgtbal_50_L,dex_eroded_50_L,crossed_50_any_L,crossed_50_frac_L
"boa constrictor->green iguana(0,0)",boa constrictor,green iguana,0,0,constrictor,iguana,within_bucket,1,2.4433271884918213,0.9245672225952148,0.4220431347621525,False,0.0,constrictor,iguana,within_bucket,1,6.0165855884552,1.402856469154358,0.6323368598938419,False,0.0
"boa constrictor->green iguana(0,1)",boa constrictor,green iguana,0,1,constrictor,lizard,within_bucket,1,1.3232636451721191,0.0003638267517089,3.560751752013944,True,1.0,constrictor,lizard,within_bucket,1,4.243100881576538,1.3358550071716309,0.5019240347717204,False,0.0
"boa constrictor->green iguana(1,1)",boa constrictor,green iguana,1,1,snake,lizard,within_bucket,1,1.5873425006866455,0.0020277798175811,2.8936498483073056,True,1.0,snake,lizard,within_bucket,1,1.498214840888977,0.000948429107666,3.198569220572761,True,1.0
"boa constrictor->junco(0,0)",boa constrictor,junco,0,0,constrictor,sparrow,wall_repl,1,1.3629308938980105,0.0004258155822753,3.505252285963377,True,1.0,constrictor,sparrow,wall_repl,1,5.46095609664917,2.101504325866699,0.4147383967185016,False,0.0
"boa constrictor->junco(0,1)",boa constrictor,junco,0,1,constrictor,songbird,wall_repl,2,1.340320706367493,0.0002751350402832,3.965611552516864,True,1.0,constrictor,songbird,wall_repl,2,3.5278425812721252,1.611986756324768,0.336163686341961,False,0.0
"boa constrictor->junco(0,2)",boa constrictor,junco,0,2,constrictor,bird,wall_repl,1,3.250200033187866,0.0019178390502929,3.229097933088319,True,1.0,constrictor,bird,wall_repl,1,9.406179904937744,3.985894203186035,0.3728875137902844,False,0.0
"boa constrictor->marimba(0,0)",boa constrictor,marimba,0,0,constrictor,marimba,cross_breadth,1,1.1229987144470217,8.678436279296875e-05,4.111937780061587,True,1.0,constrictor,marimba,cross_breadth,1,2.4594762325286865,0.5585293769836426,0.6437966094037861,False,0.0
"boa constrictor->marimba(1,1)",boa constrictor,marimba,1,1,snake,percussion instrument,cross_breadth,1,5.784292459487915,4.151951789855957,0.1439979411108245,False,0.0,snake,percussion instrument,cross_breadth,1,1.297510266304016,2.47955322265625e-05,4.718737368115656,True,1.0
"cello->junco(0,0)",cello,junco,0,0,cello,sparrow,wall_repl,1,2.1585867404937744,0.0002001821994781,4.032744048301884,True,1.0,cello,sparrow,wall_repl,1,1.5225039720535278,0.1392785310745239,1.0386742565648022,False,0.0
"cello->junco(0,1)",cello,junco,0,1,cello,songbird,wall_repl,1,1.6904359459877014,0.0006570219993591,3.4104188076455246,True,1.0,cello,songbird,wall_repl,1,0.3112848997116089,0.0010175704956054,2.485593547621566,True,1.0
