statistic,subset,n,value,p,ci_lo,ci_hi
spearman_probe_Q_vs_L,all_40_cells,40,-0.38086303939962485,0.015326459223476063,-0.6237701570576066,-0.07847016183665805
pearson_probe_Q_vs_L,all_40_cells,40,-0.33939496506625094,0.03215292461250865,,
spearman_dex_eroded_50_Q_vs_L,all_40_cells,40,-0.6206378986866793,1.934097971001968e-05,-0.762094327313561,-0.38268674863650565
pearson_dex_eroded_50_Q_vs_L,all_40_cells,40,-0.6713658730852358,2.1171039552372176e-06,,
spearman_min_tgtbal_50_Q_vs_L,all_40_cells,40,-0.6311444652908068,1.263424004832358e-05,-0.7775299597350339,-0.4031231279242618
pearson_min_tgtbal_50_Q_vs_L,all_40_cells,40,-0.38774830412895905,0.013430532446573516,,
spearman_probe_Q_vs_L,drop_top1_probe_L,39,-0.3417004048582996,0.03325095859244641,,
spearman_probe_Q_vs_L,drop_top2_probe_L,38,-0.3601050443155706,0.02636588433762742,,
spearman_probe_Q_vs_L,drop_top3_probe_L,37,-0.38074917022285437,0.020079936145288357,,
spearman_probe_Q_vs_L,non_junco_31_cells,31,-0.3149193548387097,0.08442707316481986,,
crossing_agreement_n[p_b>p_a],all_40_cells,40,7.0,,,
crossing_agreement_frac[p_b>p_a],all_40_cells,40,0.175,,,
crossing_kappa[p_b>p_a],all_40_cells,40,-0.6256157635467979,7.070302954618862e-05,,
n_crossed_qwen[p_b>p_a],all_40_cells,40,22.0,,,
crossing_agreement_n[floor<=1e-2],all_40_cells,40,8.0,,,
crossing_agreement_frac[floor<=1e-2],all_40_cells,40,0.2,,,
crossing_kappa[floor<=1e-2],all_40_cells,40,-0.5880893300248138,0.0002926945084898367,,
n_crossed_qwen[floor<=1e-2],all_40_cells,40,21.0,,,
n_crossed_llava[p_b>p_a],all_40_cells,40,17.0,,,
