sut,seed,arm,a_word,t_word,d0,floor_own_mean,floor_own_min,floor_own_max,floor_raw_mean,floor_pmi_mean,floor_pmi_min,floor_pmi_max,reached_own_k,reached_evid_k,crossed_raw_k,gen_reach_own_mean,gen_reach_own_min,gen_reach_own_max,gen_reach_own_n,gen_reach_evid_mean,gen_reach_evid_min,gen_reach_evid_max,gen_reach_evid_n,gen_cross_behav_mean,gen_cross_behav_min,gen_cross_behav_max,gen_cross_behav_n
llava,2,pmi,sparrow,flightless bird,-1.1898174285888672,0.0012935797373453777,0.00046706199645996094,0.002315521240234375,0.0012037356694539387,0.0012935797373453777,0.00046706199645996094,0.002315521240234375,3,3,3,1.6666666666666667,0.0,3.0,3,1.6666666666666667,0.0,3.0,3,0.0,0.0,0.0,3
llava,2,raw,sparrow,flightless bird,-1.1898174285888672,0.0006897449493408203,0.0001728534698486328,0.001101374626159668,0.0006897449493408203,0.07668725649515788,0.006427764892578125,0.1443183422088623,3,3,3,0.0,0.0,0.0,3,7.666666666666667,0.0,22.0,3,0.0,0.0,0.0,3
llava,26,pmi,sparrow,constrictor,-1.025684833526611,0.2035296360651652,0.006865382194519043,0.5394268035888672,0.002146482467651367,0.2035296360651652,0.006865382194519043,0.5394268035888672,2,2,3,28.5,21.0,36.0,2,28.5,21.0,36.0,2,14.666666666666666,8.0,24.0,3
llava,26,raw,sparrow,constrictor,-1.025684833526611,0.0028516451517740884,0.0015130043029785156,0.003784656524658203,0.0028516451517740884,0.4038151105244952,0.32424545288085915,0.4871234893798826,3,0,3,2.3333333333333335,2.0,3.0,3,,,,0,3.3333333333333335,2.0,6.0,3
llava,28,pmi,sparrow,snake,4.609247207641602,0.00185394287109375,0.0008957386016845703,0.0031027793884277344,2.4169958432515464,0.00185394287109375,0.0008957386016845703,0.0031027793884277344,3,3,0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0
llava,28,raw,sparrow,snake,4.609247207641602,1.0783406297365825,0.5358511805534363,1.4519776105880737,1.0783406347036362,0.0033656557401021323,0.0007395744323730469,0.0052797794342041016,0,3,0,,,,0,0.0,0.0,0.0,3,,,,0
llava,96,pmi,flightless bird,lizard,1.716181755065918,0.00033322970072428387,8.33272933959961e-05,0.0007635354995727539,1.0799906651178997,0.00033322970072428387,8.33272933959961e-05,0.0007635354995727539,3,3,0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0
llava,96,raw,flightless bird,lizard,1.716181755065918,0.8125466505686442,0.6776649951934814,1.0341554880142212,0.8125466605027517,0.0004966259002685547,9.310245513916016e-05,0.000893712043762207,0,3,0,,,,0,0.0,0.0,0.0,3,,,,0
llava,196,pmi,iguana,constrictor,-0.0645198822021484,0.002039353052775065,0.000989675521850586,0.0030508041381835938,0.0009114742279052734,0.002039353052775065,0.000989675521850586,0.0030508041381835938,3,3,3,0.3333333333333333,0.0,1.0,3,0.3333333333333333,0.0,1.0,3,3.0,2.0,4.0,3
llava,196,raw,iguana,constrictor,-0.0645198822021484,0.0013993183771769206,0.0009816884994506836,0.002222776412963867,0.0013993183771769206,0.0006409088770548919,0.00035214424133304945,0.0009039640426636159,3,3,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,3.0,3
