sut,seed,arm,rep,a_word,t_word,anchor,target,d0,d0_armgray,d0_run,floor_own,floor_raw,floor_pmi,reached_own,reached_evid,crossed_raw,crossed_pmi,gen_reach_own,gen_reach_own_trace,gen_reach_evid,gen_cross_behav,final_pareto_min
qwen,2,raw,1,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9891505241394043,1.9891505241394043,2.004178524017334,2.0041786432266235,0.015028119087219238,False,True,False,False,,,11.0,,2.004178524017334
qwen,26,raw,1,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.537253975868225,3.537253975868225,2.8454997539520264,2.8454997539520264,0.0033904314041137695,False,True,False,True,,,16.0,,2.8454997539520264
qwen,28,raw,1,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8511478900909424,-1.8511478900909424,8.273124694824219e-05,8.273124694824219e-05,0.6933194696903229,True,False,True,False,0.0,0.0,,0.0,8.273124694824219e-05
qwen,96,raw,1,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.25820928812027,-4.25820928812027,0.0001964569091796875,0.0001964569091796875,1.1403153538703918,True,False,True,False,1.0,1.0,,0.0,0.0001964569091796875
qwen,196,raw,1,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.7845526933670044,2.7845526933670044,3.645819664001465,3.6458197832107544,0.86126708984375,False,False,False,False,,,,,3.645819664001465
qwen,278,raw,1,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0797491073608398,-0.0797491073608398,0.10703754425048828,0.10703754425048828,0.18678665161132807,True,True,False,False,14.0,14.0,14.0,,0.10703754425048828
qwen,454,raw,1,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.411278992891312,4.411278992891312,2.224987268447876,2.224987268447876,0.0010512471199035645,False,True,False,True,,,0.0,,2.224987268447876
qwen,474,raw,1,marimba,string instrument,marimba,cello,0.05725958943367,-0.0058236718177795,-0.0058236718177795,0.00015369057655334473,0.00015369057655334473,0.00026553869247432447,True,True,True,True,0.0,0.0,0.0,3.0,0.00015369057655334473
qwen,2,raw,2,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9891505241394043,1.9891505241394043,0.5106923580169678,0.5106923580169678,0.0028238296508789062,False,True,False,True,,,5.0,,0.5106923580169678
qwen,26,raw,2,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.537253975868225,3.537253975868225,3.021516799926758,3.0215169191360474,0.01020514965057373,False,True,False,True,,,19.0,,3.021516799926758
qwen,28,raw,2,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8511478900909424,-1.8511478900909424,0.00045877695083618164,0.00045877695083618164,0.6026369333267212,True,False,True,False,0.0,0.0,,0.0,0.00045877695083618164
qwen,96,raw,2,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.25820928812027,-4.25820928812027,0.0003676414489746094,0.0003676414489746094,1.2781370282173157,True,False,True,False,7.0,7.0,,0.0,0.0003676414489746094
