sut,cell,d0,arm,pair,hv_own_mean,hv_own_min,hv_own_max,hv_own_std,hv_cross_mean,gen_to_90_mean,gen_to_90_min,gen_to_90_max,n_pareto_mean,n_pareto_min,n_pareto_max,n_active_span_mean,n_active_span_min,n_active_span_max,gen0_frac_mean
qwen,2,1.9718880653381348,raw,sparrow/flightless bird,0.7154210381567836,0.6422129191637218,0.8608545158897434,0.10283778095802563,0.9747705667114651,18.333333333333332,11,26,65.33333333333333,41,88,120.0,118,121,0.6272811214251232
qwen,2,1.9718880653381348,pmi,sparrow/flightless bird,0.9780796870097026,0.9638899688248161,0.9876991532765351,0.01024319995606355,0.6925878608906949,9.666666666666666,6,15,73.0,64,80,120.33333333333333,118,122,0.7769002953804801
qwen,26,3.4538527727127075,raw,sparrow/constrictor,0.5516450297575931,0.483545801079309,0.6537211658628852,0.07351070839695581,0.9953163891613066,31.333333333333332,28,38,111.33333333333333,94,144,123.0,121,127,0.4409646057609194
qwen,26,3.4538527727127075,pmi,sparrow/constrictor,0.9775937015677357,0.9711920545623824,0.9845987642044061,0.00548987241348228,0.4554023002987509,4.666666666666667,3,6,124.66666666666667,113,147,120.0,118,121,0.7974846258143083
qwen,28,-1.8430805206298828,raw,sparrow/snake,0.9999396007757883,0.999904818184025,0.999984343667646,3.3221291563938316e-05,0.8957219103554467,0.0,0,0,54.333333333333336,45,65,120.0,118,121,0.9977635877409026
qwen,28,-1.8430805206298828,pmi,sparrow/snake,0.9975565956929723,0.9953598586490024,0.999930166681339,0.0018700056257541697,0.9998711863676228,1.6666666666666667,1,3,98.66666666666667,91,103,120.0,118,121,0.8669785911796682
qwen,96,-4.1983330845832825,raw,flightless bird/lizard,0.9994828459145367,0.9991407999093982,0.9997393417421224,0.00025173028693385843,0.8050093876069503,1.3333333333333333,0,2,148.66666666666666,44,219,141.33333333333334,135,146,0.9002898248245627
qwen,96,-4.1983330845832825,pmi,flightless bird/lizard,0.9323919117516155,0.904124236350317,0.9769468333999158,0.03188247640941036,0.9790088369833779,5.0,3,7,149.0,118,194,141.33333333333334,135,146,0.7699750518158891
qwen,196,2.775361180305481,raw,iguana/constrictor,0.3372309108388734,0.2707738704621434,0.37816202691993916,0.04741120574443693,0.7997911075564536,26.666666666666668,15,33,133.66666666666666,64,272,120.0,118,121,0.35505724860297283
qwen,196,2.775361180305481,pmi,iguana/constrictor,0.8366502549972857,0.7408123040521466,0.8876809705127109,0.06781527633759468,0.3740900582797057,30.666666666666668,10,47,82.33333333333333,44,145,120.0,118,121,0.7030126711650949
