sut,cell,d0,pair,hv_pmi_rawarm,hv_pmi_pmiarm,dHV_evidence,rep_std_rawarm,rep_std_pmiarm
qwen,2,1.9718880653381348,sparrow/flightless bird,0.9747705667114651,0.9780796870097026,0.003309120298237489,0.004850765408583124,0.01024319995606355
qwen,26,3.4538527727127075,sparrow/constrictor,0.9953163891613066,0.9775937015677357,-0.017722687593570874,0.002935197830957274,0.00548987241348228
qwen,28,-1.8430805206298828,sparrow/snake,0.8957219103554467,0.9975565956929723,0.1018346853375256,0.007327661739346539,0.0018700056257541697
qwen,96,-4.1983330845832825,flightless bird/lizard,0.8050093876069503,0.9323919117516155,0.12738252414466522,0.010470863150216114,0.03188247640941036
qwen,196,2.775361180305481,iguana/constrictor,0.7997911075564536,0.8366502549972857,0.036859147440832185,0.047411205744436996,0.06781527633759468
qwen,278,-0.0527796745300293,constrictor/lizard,0.9685725279654883,0.9797820752248899,0.011209547259401598,0.01578380178678806,0.012015137287616906
qwen,454,4.453447341918945,marimba/constrictor,0.9995619203749823,0.9993369493168731,-0.00022497105810914686,0.00024155257017251247,0.0004931784478359744
qwen,474,0.057259589433670044,marimba/string instrument,0.9993665856808978,0.9996598631335698,0.0002932774526720472,0.00045061399821025826,0.00022718610201827603
llava,2,-1.1898174285888672,sparrow/flightless bird,0.9860211316649025,0.9987632529036299,0.012742121238727422,0.009329928679358878,0.0008293675412946735
llava,26,-1.0256848335266113,sparrow/constrictor,0.9238170712171971,0.9588956799772052,0.03507860876000801,0.007474156386798874,0.03984048806978057
llava,28,4.609247207641602,sparrow/snake,0.9989315398910023,0.9996777450119531,0.0007462051209508047,0.0005233129929287649,0.00014931701599755668
llava,96,1.716181755065918,flightless bird/lizard,0.9998686313498267,0.9995486629234368,-0.0003199684263899272,3.672892071455941e-05,0.0003712192535500994
llava,196,-0.06451988220214844,iguana/constrictor,0.9991352070081939,0.9993888322297518,0.0002536252215579182,0.0005220252147017776,0.0004921407228955907
llava,278,2.143124580383301,constrictor/lizard,0.9990165072960046,0.9981815129851093,-0.0008349943108952873,0.0006057121547343237,0.0005224075542127016
llava,454,0.11950206756591797,marimba/constrictor,0.99895740685519,0.9976454785614245,-0.0013119282937654742,0.001157717874216959,0.0011848302546996292
llava,474,1.024472713470459,marimba/string instrument,0.9991946490958282,0.9995665761571876,0.00037192706135935616,0.0006720404860552892,0.0004967467983872085
