sut,cell,arm,rep,gen,cum_own_hv
qwen,2,raw,1,0,0.4059140469666358
qwen,2,raw,1,1,0.41891487497646174
qwen,2,raw,1,2,0.4226954925257164
qwen,2,raw,1,3,0.44638212821684087
qwen,2,raw,1,4,0.4904695263764522
qwen,2,raw,1,5,0.4904210669947816
qwen,2,raw,1,6,0.5040578053251759
qwen,2,raw,1,7,0.5300726772876116
qwen,2,raw,1,8,0.5346400003443967
qwen,2,raw,1,9,0.5366912881085824
qwen,2,raw,1,10,0.537357485195896
qwen,2,raw,1,11,0.5924635617224662
qwen,2,raw,1,12,0.5956974801000532
qwen,2,raw,1,13,0.5978261466856833
qwen,2,raw,1,14,0.5975141824186744
qwen,2,raw,1,15,0.5975037746064298
qwen,2,raw,1,16,0.597752013811478
qwen,2,raw,1,17,0.5982781971718099
qwen,2,raw,1,18,0.6178128050791251
qwen,2,raw,1,19,0.6179553222011875
qwen,2,raw,1,20,0.6256522785972904
qwen,2,raw,1,21,0.6245870483709169
qwen,2,raw,1,22,0.6245870483709169
qwen,2,raw,1,23,0.6245870483709169
qwen,2,raw,1,24,0.6266379845929932
qwen,2,raw,1,25,0.6266379845929932
qwen,2,raw,1,26,0.6266379845929932
qwen,2,raw,1,27,0.626818818552
qwen,2,raw,1,28,0.6259593665599822
qwen,2,raw,1,29,0.6269933164298712
qwen,2,raw,1,30,0.6266622620301918
qwen,2,raw,1,31,0.6266559879701057
qwen,2,raw,1,32,0.6279806132699632
qwen,2,raw,1,33,0.6279806132699632
qwen,2,raw,1,34,0.6283116676696426
qwen,2,raw,1,35,0.6283116676696426
qwen,2,raw,1,36,0.6283116676696426
qwen,2,raw,1,37,0.6320551221703623
qwen,2,raw,1,38,0.6324053904763212
qwen,2,raw,1,39,0.6357757659914256
qwen,2,raw,1,40,0.6353023139474627
qwen,2,raw,1,41,0.6353023139474627
qwen,2,raw,1,42,0.6353023139474627
qwen,2,raw,1,43,0.6353023139474627
qwen,2,raw,1,44,0.6427357544949104
qwen,2,raw,1,45,0.6427357544949104
qwen,2,raw,1,46,0.6427357544949104
qwen,2,raw,1,47,0.6427357544949104
qwen,2,raw,1,48,0.6424603957134681
qwen,2,raw,1,49,0.6431956794168855
qwen,26,raw,1,0,0.21969133212759684
qwen,26,raw,1,1,0.21784149982907747
qwen,26,raw,1,2,0.21784078243661212
qwen,26,raw,1,3,0.2311455227837369
qwen,26,raw,1,4,0.23664594385717008
qwen,26,raw,1,5,0.23664594385717008
qwen,26,raw,1,6,0.2366101015526969
qwen,26,raw,1,7,0.2739831824023444
qwen,26,raw,1,8,0.28914110836861007
qwen,26,raw,1,9,0.28914110836861007
qwen,26,raw,1,10,0.29110864930235225
qwen,26,raw,1,11,0.29400219842120334
qwen,26,raw,1,12,0.2940182995957297
qwen,26,raw,1,13,0.2940182995957297
qwen,26,raw,1,14,0.33682183617049155
qwen,26,raw,1,15,0.3381409810201542
qwen,26,raw,1,16,0.38605791442208104
qwen,26,raw,1,17,0.3990574869307669
qwen,26,raw,1,18,0.3990574869307669
qwen,26,raw,1,19,0.3990574869307669
qwen,26,raw,1,20,0.3990574869307669
qwen,26,raw,1,21,0.3990574869307669
qwen,26,raw,1,22,0.3989403949485526
qwen,26,raw,1,23,0.3989403949485526
qwen,26,raw,1,24,0.3989403949485526
qwen,26,raw,1,25,0.3989403949485526
qwen,26,raw,1,26,0.42329372201595944
qwen,26,raw,1,27,0.42329372201595944
qwen,26,raw,1,28,0.42569728880315216
qwen,26,raw,1,29,0.42569728880315216
qwen,26,raw,1,30,0.42569647823368106
qwen,26,raw,1,31,0.44769720576546934
qwen,26,raw,1,32,0.4485428287639275
qwen,26,raw,1,33,0.447573570249317
qwen,26,raw,1,34,0.4482251169445279
qwen,26,raw,1,35,0.4482251169445279
qwen,26,raw,1,36,0.455090036263337
qwen,26,raw,1,37,0.455090036263337
qwen,26,raw,1,38,0.5036223490495939
qwen,26,raw,1,39,0.5034316074293297
qwen,26,raw,1,40,0.5034316074293297
qwen,26,raw,1,41,0.5134134104212482
qwen,26,raw,1,42,0.5134134104212482
qwen,26,raw,1,43,0.5134134104212482
qwen,26,raw,1,44,0.5134134104212482
qwen,26,raw,1,45,0.5134134104212482
qwen,26,raw,1,46,0.5176681223305853
qwen,26,raw,1,47,0.5176681223305853
qwen,26,raw,1,48,0.5176681223305853
qwen,26,raw,1,49,0.5176681223305853
qwen,28,raw,1,0,0.9977335285496067
qwen,28,raw,1,1,0.9977335285496067
qwen,28,raw,1,2,0.9995694189100295
qwen,28,raw,1,3,0.9995889564355215
qwen,28,raw,1,4,0.9995889564355215
qwen,28,raw,1,5,0.9995889564355215
qwen,28,raw,1,6,0.9995889564355215
qwen,28,raw,1,7,0.9997079968452455
qwen,28,raw,1,8,0.9997079968452455
qwen,28,raw,1,9,0.9997079968452455
qwen,28,raw,1,10,0.9997079968452455
qwen,28,raw,1,11,0.9997079968452455
qwen,28,raw,1,12,0.9997079968452455
qwen,28,raw,1,13,0.9997079968452455
qwen,28,raw,1,14,0.9997079968452455
qwen,28,raw,1,15,0.9997104296276161
qwen,28,raw,1,16,0.9997104296276161
qwen,28,raw,1,17,0.9997104296276161
qwen,28,raw,1,18,0.9997104296276161
qwen,28,raw,1,19,0.9997104296276161
qwen,28,raw,1,20,0.9997104296276161
qwen,28,raw,1,21,0.9997104296276161
qwen,28,raw,1,22,0.9997104296276161
qwen,28,raw,1,23,0.9997104296276161
qwen,28,raw,1,24,0.9998647759000101
qwen,28,raw,1,25,0.9998647759000101
qwen,28,raw,1,26,0.9998647759000101
qwen,28,raw,1,27,0.9998647759000101
qwen,28,raw,1,28,0.9998647759000101
qwen,28,raw,1,29,0.9998647759000101
qwen,28,raw,1,30,0.9998647759000101
qwen,28,raw,1,31,0.9998647759000101
qwen,28,raw,1,32,0.9998647759000101
qwen,28,raw,1,33,0.9998647759000101
qwen,28,raw,1,34,0.9998647759000101
qwen,28,raw,1,35,0.9998647759000101
qwen,28,raw,1,36,0.9998647759000101
qwen,28,raw,1,37,0.9998647759000101
qwen,28,raw,1,38,0.9998647759000101
qwen,28,raw,1,39,0.9999799893962011
qwen,28,raw,1,40,0.9999799893962011
qwen,28,raw,1,41,0.9999799251377403
