sut,cell,pair,d0,absd0,floor_pmi_raw,floor_pmi_pmi,dfloor,dHV,regime
qwen,96,flightless bird->lizard,-4.228271186351776,4.228271186351776,1.2252402504285176,0.396360844373703,0.8288794060548146,0.13736189140082966,PRIOR-ASSISTED
qwen,28,sparrow->snake,-1.8471142053604126,1.8471142053604126,0.6263166964054108,0.0010198503732680333,0.6252968460321428,0.10317924691436886,PRIOR-ASSISTED
llava,2,sparrow->flightless bird,-1.1898174285888672,1.1898174285888672,0.07668725649515787,0.0012935797373453,0.07539367675781257,0.012742121238727422,EASY
llava,26,sparrow->constrictor,-1.025684833526611,1.025684833526611,0.4038151105244952,0.20352963606516516,0.20028547445933004,0.03507860876000801,PRIOR-ASSISTED
qwen,278,constrictor->lizard,-0.06626439094543454,0.06626439094543454,0.21162239710489902,0.10859409968058269,0.10302829742431634,0.015704452731203467,CONTROL
llava,196,iguana->constrictor,-0.0645198822021484,0.0645198822021484,0.0006409088770548667,0.002039353052775,-0.0013984441757201333,0.0002536252215579182,CONTROL
qwen,474,marimba->string instrument,0.025717958807945248,0.025717958807945248,0.0002101361751556393,0.0005654493967692001,-0.00035531322161356073,0.0004031981144115848,CONTROL
llava,454,marimba->constrictor,0.1195020675659179,0.1195020675659179,0.0001910924911498898,0.0005412101745605,-0.00035011768341061027,-0.0013119282937654742,CONTROL
llava,474,marimba->string instrument,1.024472713470459,1.024472713470459,0.0015043417612711,0.0009425083796182806,0.0005618333816528193,0.00037192706135935616,EASY
llava,96,flightless bird->lizard,1.716181755065918,1.716181755065918,0.00049662590026852,0.00033322970072426533,0.00016339619954425466,-0.0003199684263899272,EASY
qwen,2,sparrow->flightless bird,1.9805192947387695,1.9805192947387695,0.019152998924255333,0.010893265406290651,0.008259733517964682,0.0014268869983481425,EASY
llava,278,constrictor->lizard,2.143124580383301,2.143124580383301,0.003918722271919199,0.00269003709157305,0.0012286851803461492,-0.0008349943108956204,EASY
qwen,196,iguana->constrictor,2.7799569368362427,2.7799569368362427,1.1561178863048553,0.9562401374181112,0.19987774888674414,0.03532722859724502,GEOMETRY
qwen,26,sparrow->constrictor,3.4955533742904663,3.4955533742904663,0.005806684494018499,0.05306414763132727,-0.04725746313730877,-0.017450030591037002,EASY
qwen,454,marimba->constrictor,4.4323631674051285,4.4323631674051285,0.0008821288744608,0.0004093448321024333,0.0004727840423583667,-0.00014681343920175394,EASY
llava,28,sparrow->snake,4.609247207641602,4.609247207641602,0.0033656557401020998,0.0018539428710937,0.0015117128690083999,0.0007462051209508047,EASY
