sut,cell,d0_rep1,d0_rep2,d0_rep3,d0_mean,d0_std,d0_ptp
qwen,2,1.9718880653381348,1.9718880653381348,1.9718880653381348,1.9718880653381348,0.0,0.0
qwen,26,3.4538527727127075,3.4538527727127075,3.4538527727127075,3.4538527727127075,0.0,0.0
qwen,28,-1.8430805206298828,-1.8430805206298828,-1.8430805206298828,-1.8430805206298828,0.0,0.0
qwen,96,-4.1983330845832825,-4.1983330845832825,-4.1983330845832825,-4.1983330845832825,0.0,0.0
qwen,196,2.775361180305481,2.775361180305481,2.775361180305481,2.775361180305481,0.0,0.0
qwen,278,-0.0527796745300293,-0.0527796745300293,-0.0527796745300293,-0.0527796745300293,0.0,0.0
qwen,454,4.453447341918945,4.453447341918945,4.453447341918945,4.453447341918945,0.0,0.0
qwen,474,0.057259589433670044,0.057259589433670044,0.057259589433670044,0.057259589433670044,0.0,0.0
llava,2,-1.1898174285888672,-1.1898174285888672,-1.1898174285888672,-1.1898174285888672,0.0,0.0
llava,26,-1.0256848335266113,-1.0256848335266113,-1.0256848335266113,-1.0256848335266113,0.0,0.0
llava,28,4.609247207641602,4.609247207641602,4.609247207641602,4.609247207641602,0.0,0.0
llava,96,1.716181755065918,1.716181755065918,1.716181755065918,1.716181755065918,0.0,0.0
llava,196,-0.06451988220214844,-0.06451988220214844,-0.06451988220214844,-0.06451988220214844,0.0,0.0
llava,278,2.143124580383301,2.143124580383301,2.143124580383301,2.143124580383301,0.0,0.0
llava,454,0.11950206756591797,0.11950206756591797,0.11950206756591797,0.11950206756591797,0.0,0.0
llava,474,1.024472713470459,1.024472713470459,1.024472713470459,1.024472713470459,0.0,0.0
