sut,cell,rep,md_raw,md_pmi,md_absdiff,td_raw,td_pmi,td_absdiff
qwen,2,1,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0656554102897644,0.0659071207046508,0.00025171041488639134
qwen,2,2,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0525728464126586,0.0527405738830566,0.0001677274703979978
qwen,2,3,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0598729848861694,0.0374449491500854,0.022428035736083998
qwen,26,1,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0522938966751098,0.058390736579895,0.006096839904785198
qwen,26,2,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0930283665657043,0.066913366317749,0.02611500024795531
qwen,26,3,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0694231390953064,0.0670210719108581,0.0024020671844482977
qwen,28,1,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0423252582550048,0.1046943664550781,0.0623691082000733
qwen,28,2,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0874860882759094,0.0388223528861999,0.048663735389709493
qwen,28,3,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0493216514587402,0.0420153141021728,0.007306337356567397
qwen,96,1,2.490969745849725e-05,2.490969745849725e-05,0.0,0.0529351830482482,0.056233525276184,0.003298342227935798
qwen,96,2,2.490969745849725e-05,2.490969745849725e-05,0.0,0.0,0.0124708414077758,0.0124708414077758
qwen,96,3,2.490969745849725e-05,2.490969745849725e-05,0.0,0.0329246520996093,0.0514484047889709,0.0185237526893616
qwen,196,1,4.031010394101031e-05,4.031010394101031e-05,0.0,0.033868670463562,0.0124708414077758,0.021397829055786195
qwen,196,2,4.031010394101031e-05,4.031010394101031e-05,0.0,0.0260671377182006,0.0294567346572875,0.0033895969390869
qwen,196,3,4.031010394101031e-05,4.031010394101031e-05,0.0,0.0664023160934448,0.0490979552268981,0.017304360866546693
qwen,278,1,2.416285133222118e-05,2.416285133222118e-05,0.0,0.0520446300506591,0.0338383316993713,0.0182062983512878
qwen,278,2,2.416285133222118e-05,2.416285133222118e-05,0.0,0.0097103118896484,0.0320165753364563,0.0223062634468079
qwen,278,3,2.416285133222118e-05,2.416285133222118e-05,0.0,0.0707819461822509,0.0939580202102661,0.023176074028015206
qwen,454,1,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0574555993080139,0.0377890467643737,0.0196665525436402
qwen,454,2,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0746679306030273,0.0519285798072814,0.022739350795745905
qwen,454,3,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0226408839225769,0.0116509199142456,0.0109899640083313
qwen,474,1,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0735553503036499,0.0124708414077758,0.0610845088958741
qwen,474,2,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.0851489305496215,0.0164928436279296,0.0686560869216919
qwen,474,3,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.042107343673706,0.1129803657531738,0.0708730220794678
llava,2,1,2.782623232633341e-05,2.782623232633341e-05,0.0,0.227432370185852,0.3698081970214844,0.14237582683563238
llava,2,2,2.782623232633341e-05,2.782623232633341e-05,0.0,0.4209756851196289,0.1105918884277343,0.3103837966918946
llava,2,3,2.782623232633341e-05,2.782623232633341e-05,0.0,0.4860268235206604,0.4301029443740845,0.05592387914657593
llava,26,1,2.782623232633341e-05,2.782623232633341e-05,0.0,0.2648962736129761,0.2610949873924255,0.0038012862205505926
llava,26,2,2.782623232633341e-05,2.782623232633341e-05,0.0,0.292376697063446,0.2672378420829773,0.025138854980468694
llava,26,3,2.782623232633341e-05,2.782623232633341e-05,0.0,0.2818605303764343,0.345231294631958,0.06337076425552368
llava,28,1,2.782623232633341e-05,2.782623232633341e-05,0.0,0.2580780982971191,0.3068536520004272,0.048775553703308105
llava,28,2,2.782623232633341e-05,2.782623232633341e-05,0.0,0.3305758237838745,0.4126529693603515,0.082077145576477
llava,28,3,2.782623232633341e-05,2.782623232633341e-05,0.0,0.2308986186981201,0.341808021068573,0.11090940237045291
llava,96,1,3.48673747794237e-05,3.48673747794237e-05,0.0,0.1649608612060547,0.2681875228881836,0.1032266616821289
llava,96,2,3.48673747794237e-05,3.48673747794237e-05,0.0,0.3454081416130066,0.4147292375564575,0.06932109594345093
llava,96,3,3.48673747794237e-05,3.48673747794237e-05,0.0,0.4436651468276977,0.3629639148712158,0.08070123195648188
llava,196,1,4.551466190605424e-05,4.551466190605424e-05,0.0,0.2347182631492614,0.2789012193679809,0.04418295621871951
llava,196,2,4.551466190605424e-05,4.551466190605424e-05,0.0,0.3906092047691345,0.3324877023696899,0.058121502399444636
llava,196,3,4.551466190605424e-05,4.551466190605424e-05,0.0,0.4041498303413391,0.3129323720932007,0.09121745824813843
llava,278,1,2.994129499711562e-05,2.994129499711562e-05,0.0,0.3059252500534057,0.3992459774017334,0.09332072734832769
llava,278,2,2.994129499711562e-05,2.994129499711562e-05,0.0,0.1823900938034057,0.2047885656356811,0.02239847183227539
llava,278,3,2.994129499711562e-05,2.994129499711562e-05,0.0,0.2924652695655823,0.4319964647293091,0.1395311951637268
llava,454,1,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.2518230676651001,0.3778904676437378,0.1260673999786377
llava,454,2,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.3884403705596924,0.4411959648132324,0.05275559425354004
llava,454,3,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.2739578485488891,0.4212492108345032,0.14729136228561407
llava,474,1,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.162395179271698,0.2308986186981201,0.06850343942642209
llava,474,2,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.3182721138000488,0.4125251770019531,0.09425306320190435
llava,474,3,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.2901915311813354,0.4187211990356445,0.12852966785430908
