sut,cell,rep,geno_max_abs_diff,matdist_gen0_max_abs_diff,geno_shape
qwen,2,1,0,0.0,"(30, 241)"
qwen,2,2,0,0.0,"(30, 241)"
qwen,2,3,0,0.0,"(30, 241)"
qwen,26,1,0,0.0,"(30, 241)"
qwen,26,2,0,0.0,"(30, 241)"
qwen,26,3,0,0.0,"(30, 241)"
qwen,28,1,0,0.0,"(30, 241)"
qwen,28,2,0,0.0,"(30, 241)"
qwen,28,3,0,0.0,"(30, 241)"
qwen,96,1,0,0.0,"(30, 272)"
qwen,96,2,0,0.0,"(30, 272)"
qwen,96,3,0,0.0,"(30, 272)"
qwen,196,1,0,0.0,"(30, 241)"
qwen,196,2,0,0.0,"(30, 241)"
qwen,196,3,0,0.0,"(30, 241)"
qwen,278,1,0,0.0,"(30, 248)"
qwen,278,2,0,0.0,"(30, 248)"
qwen,278,3,0,0.0,"(30, 248)"
qwen,454,1,0,0.0,"(30, 312)"
qwen,454,2,0,0.0,"(30, 312)"
qwen,454,3,0,0.0,"(30, 312)"
qwen,474,1,0,0.0,"(30, 312)"
qwen,474,2,0,0.0,"(30, 312)"
qwen,474,3,0,0.0,"(30, 312)"
llava,2,1,0,0.0,"(30, 241)"
llava,2,2,0,0.0,"(30, 241)"
llava,2,3,0,0.0,"(30, 241)"
llava,26,1,0,0.0,"(30, 241)"
llava,26,2,0,0.0,"(30, 241)"
llava,26,3,0,0.0,"(30, 241)"
llava,28,1,0,0.0,"(30, 241)"
llava,28,2,0,0.0,"(30, 241)"
llava,28,3,0,0.0,"(30, 241)"
llava,96,1,0,0.0,"(30, 272)"
llava,96,2,0,0.0,"(30, 272)"
llava,96,3,0,0.0,"(30, 272)"
llava,196,1,0,0.0,"(30, 241)"
llava,196,2,0,0.0,"(30, 241)"
llava,196,3,0,0.0,"(30, 241)"
llava,278,1,0,0.0,"(30, 248)"
llava,278,2,0,0.0,"(30, 248)"
llava,278,3,0,0.0,"(30, 248)"
llava,454,1,0,0.0,"(30, 312)"
llava,454,2,0,0.0,"(30, 312)"
llava,454,3,0,0.0,"(30, 312)"
llava,474,1,0,0.0,"(30, 312)"
llava,474,2,0,0.0,"(30, 312)"
llava,474,3,0,0.0,"(30, 312)"
