seed,anchor,target,a_word,t_word,arm,d0,image_dim,floor_own,floor_raw,floor_pmi,reached_evidence,crossed_raw,crossed_pmi,hv_raw,hv_pmi,n_active_min,n_active_max,matdist_min,textdist_min,rep
196,green iguana,boa constrictor,iguana,constrictor,pmi,-0.06451988220214844,222,0.0020775794982910156,0.0014901161193847656,0.0020775794982910156,True,True,True,0.9997488318441866,0.9996490877669851,0,121,4.5514661906054243e-05,0.27890121936798096,1
26,junco,boa constrictor,sparrow,constrictor,pmi,-1.0256848335266113,222,0.006865382194519043,0.0037813186645507812,0.006865382194519043,True,True,True,0.9973833378370818,0.9913579897658603,0,120,2.782623232633341e-05,0.26109498739242554,1
278,boa constrictor,green iguana,constrictor,lizard,pmi,2.143124580383301,229,0.007244586944580078,1.813431739807129,0.007244586944580078,True,False,True,0.6976906515798886,0.9987686871614693,0,119,2.994129499711562e-05,0.3992459774017334,1
28,junco,boa constrictor,sparrow,snake,pmi,4.609247207641602,222,0.0015633106231689453,2.2943410873413086,0.0015633106231689453,True,False,True,0.6111937211798475,0.9997367414984258,0,120,2.782623232633341e-05,0.30685365200042725,1
2,junco,ostrich,sparrow,flightless bird,pmi,-1.1898174285888672,222,0.00046706199645996094,0.0016564130783081055,0.00046706199645996094,True,True,True,0.9996846269916845,0.9987382847625572,0,121,2.782623232633341e-05,0.3698081970214844,1
454,marimba,boa constrictor,marimba,constrictor,pmi,0.11950206756591797,293,0.0004315376281738281,0.01929759979248047,0.0004315376281738281,True,True,True,0.9925262936146186,0.9966696728618478,0,167,2.2720023480360396e-05,0.3778904676437378,1
474,marimba,cello,marimba,string instrument,pmi,1.024472713470459,293,0.00205230712890625,0.7099844217300415,0.00205230712890625,True,False,True,0.8794099407798194,0.9988652608093548,0,167,2.2720023480360396e-05,0.23089861869812012,1
96,ostrich,green iguana,flightless bird,lizard,pmi,1.716181755065918,253,8.33272933959961e-05,1.1388919353485107,8.33272933959961e-05,True,False,True,0.8089138179114371,0.9996017493278142,0,138,3.48673747794237e-05,0.2681875228881836,1
196,green iguana,boa constrictor,iguana,constrictor,pmi,-0.06451988220214844,222,0.0030508041381835938,5.412101745605469e-05,0.0030508041381835938,True,True,True,0.9993401997619205,0.9986996838638376,0,122,4.5514661906054243e-05,0.33248770236968994,2
26,junco,boa constrictor,sparrow,constrictor,pmi,-1.0256848335266113,222,0.06429672241210938,7.832050323486328e-05,0.06429672241210938,True,True,False,0.9993810040635747,0.9825461695681106,0,121,2.782623232633341e-05,0.2672378420829773,2
278,boa constrictor,green iguana,constrictor,lizard,pmi,2.143124580383301,229,4.565715789794922e-05,1.7085790634155273,4.565715789794922e-05,True,False,True,0.7109848490795541,0.9982762354950717,0,118,2.994129499711562e-05,0.20478856563568115,2
28,junco,boa constrictor,sparrow,snake,pmi,4.609247207641602,222,0.0008957386016845703,2.541901111602783,0.0008957386016845703,True,False,True,0.575459528255749,0.9998238398148134,0,121,2.782623232633341e-05,0.41265296936035156,2
2,junco,ostrich,sparrow,flightless bird,pmi,-1.1898174285888672,222,0.0010981559753417969,0.0017179250717163086,0.0010981559753417969,True,True,True,0.9996985834282083,0.9997912704407632,0,121,2.782623232633341e-05,0.11059188842773438,2
454,marimba,boa constrictor,marimba,constrictor,pmi,0.11950206756591797,293,0.00038743019104003906,0.0014567375183105469,0.00038743019104003906,True,True,True,0.9967203886842565,0.9969537261538673,0,149,2.2720023480360396e-05,0.4411959648132324,2
474,marimba,cello,marimba,string instrument,pmi,1.024472713470459,293,0.0007002353668212891,0.7424218654632568,0.0007002353668212891,True,False,True,0.876100327238966,0.9998818267734384,0,149,2.2720023480360396e-05,0.4125251770019531,2
96,ostrich,green iguana,flightless bird,lizard,pmi,1.716181755065918,253,0.00015282630920410156,1.1145381927490234,0.00015282630920410156,True,False,True,0.8140820788614679,0.9999744381672152,0,144,3.48673747794237e-05,0.4147292375564575,2
196,green iguana,boa constrictor,iguana,constrictor,pmi,-0.06451988220214844,222,0.000989675521850586,0.001190185546875,0.000989675521850586,True,True,True,0.999735963595164,0.9998177250584325,0,118,4.5514661906054243e-05,0.3129323720932007,3
26,junco,boa constrictor,sparrow,constrictor,pmi,-1.0256848335266113,222,0.5394268035888672,0.002579808235168457,0.5394268035888672,False,True,False,0.9989705029371623,0.9027828805976443,0,117,2.782623232633341e-05,0.345231294631958,3
278,boa constrictor,green iguana,constrictor,lizard,pmi,2.143124580383301,229,0.0007798671722412109,1.8967390060424805,0.0007798671722412109,True,False,True,0.6753518884185447,0.9974996162987866,0,130,2.994129499711562e-05,0.4319964647293091,3
28,junco,boa constrictor,sparrow,snake,pmi,4.609247207641602,222,0.0031027793884277344,2.414745330810547,0.0031027793884277344,True,False,True,0.5958429884624196,0.99947265372262,0,117,2.782623232633341e-05,0.341808021068573,3
2,junco,ostrich,sparrow,flightless bird,pmi,-1.1898174285888672,222,0.002315521240234375,0.00023686885833740234,0.002315521240234375,True,True,True,0.9998202441153942,0.9977602035075694,0,130,2.782623232633341e-05,0.4301029443740845,3
454,marimba,boa constrictor,marimba,constrictor,pmi,0.11950206756591797,293,0.0008046627044677734,0.0019555091857910156,0.0008046627044677734,True,True,True,0.998886255070618,0.9993130366685582,0,175,2.2720023480360396e-05,0.4212492108345032,3
474,marimba,cello,marimba,string instrument,pmi,1.024472713470459,293,7.49826431274414e-05,0.6904335021972656,7.49826431274414e-05,True,False,True,0.8834044361684102,0.9999526408887696,0,175,2.2720023480360396e-05,0.41872119903564453,3
96,ostrich,green iguana,flightless bird,lizard,pmi,1.716181755065918,253,0.0007635354995727539,0.9865418672561646,0.0007635354995727539,True,False,True,0.8335115414834305,0.9990698012752809,0,147,3.48673747794237e-05,0.3629639148712158,3
196,green iguana,boa constrictor,iguana,constrictor,raw,-0.0645198822021484,222,0.000993490219116211,0.000993490219116211,0.00035214424133304945,True,True,True,0.9984337267753957,0.9984381593562461,0,121,4.5514661906054243e-05,0.23471826314926147,1
26,junco,boa constrictor,sparrow,constrictor,raw,-1.025684833526611,222,0.003784656524658203,0.003784656524658203,0.32424545288085915,False,True,False,0.9976376776133213,0.9290850742890671,0,120,2.782623232633341e-05,0.2648962736129761,1
278,boa constrictor,green iguana,constrictor,lizard,raw,2.143124580383301,229,0.6631225347518921,0.6631225347518921,0.0008846521377563477,True,False,True,0.8870684362655124,0.9998151543706092,0,119,2.994129499711562e-05,0.30592525005340576,1
28,junco,boa constrictor,sparrow,snake,raw,4.609247207641602,222,0.5358511805534363,0.5358511805534363,0.004077613353729248,True,False,True,0.8989973118131583,0.9992564648568808,0,120,2.782623232633341e-05,0.25807809829711914,1
2,junco,ostrich,sparrow,flightless bird,raw,-1.1898174285888672,222,0.0007950067520141602,0.0007950067520141602,0.0793156623840332,True,True,False,0.999866364149002,0.9865023461548058,0,121,2.782623232633341e-05,0.22743237018585205,1
454,marimba,boa constrictor,marimba,constrictor,raw,0.1195020675659179,293,0.00589597225189209,0.00589597225189209,0.0004305839538573525,True,True,True,0.9949379507049629,0.9973324462008557,0,167,2.2720023480360396e-05,0.2518230676651001,1
474,marimba,cello,marimba,string instrument,raw,1.024472713470459,293,0.5286166667938232,0.5286166667938232,0.002286195755004883,True,False,True,0.9042498322205875,0.9982568523311507,0,167,2.2720023480360396e-05,0.162395179271698,1
96,ostrich,green iguana,flightless bird,lizard,raw,1.716181755065918,253,1.0341555178165436,1.0341555178165436,0.0005030632019042969,True,False,True,0.8267139505609694,0.9998739331136108,0,136,3.48673747794237e-05,0.1649608612060547,1
196,green iguana,boa constrictor,iguana,constrictor,raw,-0.0645198822021484,222,0.0009816884994506836,0.0009816884994506836,0.0006666183471680104,True,True,True,0.9992911366371062,0.9992731152712047,0,121,4.5514661906054243e-05,0.3906092047691345,2
