seed,anchor,target,a_word,t_word,arm,d0,image_dim,floor_own,floor_raw,floor_pmi,reached_evidence,crossed_raw,crossed_pmi,hv_raw,hv_pmi,n_active_min,n_active_max,matdist_min,textdist_min,rep
196,green iguana,boa constrictor,iguana,constrictor,pmi,2.775361180305481,222,0.6427435278892517,3.4181047081947327,0.6427435278892517,False,False,False,0.4251207737951307,0.8876809705127109,0,121,4.031010394101031e-05,0.012470841407775879,1
26,junco,boa constrictor,sparrow,constrictor,pmi,3.4538527727127075,222,0.14547276496887207,3.5993255376815796,0.14547276496887207,True,False,False,0.39554992577693127,0.9711920545623824,0,121,1.3950421816844027e-05,0.05839073657989502,1
278,boa constrictor,green iguana,constrictor,lizard,pmi,-0.0527796745300293,229,0.15320444107055664,0.10042476654052734,0.15320444107055664,True,False,False,0.982708635288555,0.9739120228668834,0,119,2.416285133222118e-05,0.03383833169937134,1
28,junco,boa constrictor,sparrow,snake,pmi,-1.8430805206298828,222,0.00039336085319519043,0.0013573169708251953,0.00039336085319519043,True,True,True,0.9997603836897256,0.999930166681339,0,121,1.3950421816844027e-05,0.10469436645507812,1
2,junco,ostrich,sparrow,flightless bird,pmi,1.9718880653381348,222,5.412101745605469e-05,1.7458057403564453,5.412101745605469e-05,True,False,True,0.6942405359702067,0.9876991532765351,0,122,1.3950421816844027e-05,0.06590712070465088,1
454,marimba,boa constrictor,marimba,constrictor,pmi,4.453447341918945,293,0.00016829371452331543,3.0382825136184692,0.00016829371452331543,True,False,True,0.4912171424181117,0.9996281105673218,0,167,1.3950421816844027e-05,0.03778904676437378,1
474,marimba,cello,marimba,string instrument,pmi,0.057259589433670044,293,0.000436931848526001,7.984042167663574e-05,0.000436931848526001,True,True,True,0.9999760341013657,0.9999010170109579,0,167,1.3950421816844027e-05,0.012470841407775879,1
96,ostrich,green iguana,flightless bird,lizard,pmi,-4.1983330845832825,253,0.5689190626144409,0.12490302324295044,0.5689190626144409,False,True,False,0.9791828294595083,0.904124236350317,0,135,2.490969745849725e-05,0.05623352527618408,1
196,green iguana,boa constrictor,iguana,constrictor,pmi,2.775361180305481,222,0.6807460188865662,3.456107199192047,0.6807460188865662,False,False,False,0.41889729370941986,0.881457490427,0,121,4.031010394101031e-05,0.029456734657287598,2
26,junco,boa constrictor,sparrow,constrictor,pmi,3.4538527727127075,222,0.012936234474182129,2.679028272628784,0.012936234474182129,True,False,True,0.5111131003132096,0.9769902859364186,0,121,1.3950421816844027e-05,0.06691336631774902,2
