image_idx,ground_truth_idx,ground_truth_label,correct_log_prob,correct_log_prob_norm,correct_n_tokens,correct_rank_approx,top1_label,top1_first_token_lp
0,91,coucal,-5.195488333702087,-1.0390976667404175,5,971,Weimaraner,-12.8984375
1,171,Italian Greyhound,-9.870813727378845,-1.6451356212298076,6,99,Ibizan Hound,-13.078125
2,980,volcano,-1.9327723979949951,-0.386554479598999,5,194,Weimaraner,-13.8046875
3,218,Welsh Springer Spaniel,-11.966870307922363,-1.4958587884902954,8,111,Ibizan Hound,-13.8671875
4,19,chickadee,-2.688131332397461,-0.38401876177106586,7,531,Weimaraner,-12.9765625
5,658,mitten,-1.4623730182647705,-0.2924746036529541,5,387,Ibizan Hound,-13.34375
6,549,envelope,-0.34451091289520264,-0.06890218257904053,5,375,Ibizan Hound,-12.578125
7,808,sombrero,-1.7012265920639038,-0.3402453184127808,5,785,Ibizan Hound,-12.9609375
8,305,dung beetle,-2.8498547077178955,-0.5699709415435791,5,834,Ibizan Hound,-11.765625
9,416,balance beam,-1.3618654012680054,-0.2723730802536011,5,924,Weimaraner,-14.0390625
